,x,y,Ux,Uy,N,Q,M,PUx,PUy,PUtot,pile_number,UC1,UC2,UC3,UC4,UC5,UC6,UC7,UC8,UC9,UC10,UC11,UC12,UC13,UC14,UC_governing
0,0.1375,-1.104,-0.276156406405697,-0.145183290548303,-44.4551637970442,6.28536874398649,-14.5185115104866,-0.0001270190259674,-5.30442184754065e-06,0.0001271297362887,1.0,0.0,0.0,0.09462429981906349,0.0,0.0,0.9405302352419871,0.9405302352419871,0.9405302352419871,0.0936503200064072,0.0,0.0,0.0,0.9494839933582351,0.9494839933582351,0.9494839933582351
1,0.1375,-1.13119744429161,-0.277084163783409,-0.144722544293264,-44.4607683544953,6.25658351741286,-14.3479588425042,-0.0001268608903046,-5.3022399697511e-06,0.0001269716473768,1.0,0.0,0.0,0.09463622930664851,0.0,0.0,0.929481586017666,0.929481586017666,0.929481586017666,0.09322142779818844,0.0,0.0,0.0,0.9384376019150465,0.9384376019150465,0.9384376019150465
2,0.1375,-1.15839488858323,-0.278078867224709,-0.144263005092557,-44.4663768663518,6.21231224720242,-14.1783277351479,-0.0001267053157789,-5.3000585467089e-06,0.0001268161175373,1.0,0.0,0.0,0.09464816721131737,0.0,0.0,0.9184926368274584,0.9184926368274584,0.9184926368274584,0.09256179766491035,0.0,0.0,0.0,0.9274509123839199,0.9274509123839199,0.9274509123839199
3,0.1375,-1.18559233287484,-0.279101865054697,-0.143805035357101,-44.4719853782083,6.15357010772682,-14.0100938339579,-0.0001265521568711,-5.29787666891934e-06,0.00012666300133,1.0,0.0,0.0,0.09466010511598626,0.0,0.0,0.9075942006793987,0.9075942006793987,0.9075942006793987,0.09168655543429115,0.0,0.0,0.0,0.9165547361799682,0.9165547361799682,0.9165547361799682
4,0.1375,-1.21278977716646,-0.280130559974144,-0.143348265766369,-44.4775899356592,6.08137227335775,-13.8437248275349,-0.0001264013117179,-5.29569479112979e-06,0.0001265121969903,1.0,0.0,0.0,0.09467203460357083,0.0,0.0,0.8968165751194384,0.8968165751194384,0.8968165751194384,0.09061082693404972,0.0,0.0,0.0,0.905779369255418,0.905779369255418,0.905779369255418
5,0.1375,-1.21278977716646,-0.280130559974144,-0.143348265766369,-44.4775943453093,6.08450848368856,-13.8437248275349,-0.0001264013117179,-5.29569479112979e-06,0.0001265121969903,1.0,0.0,0.0,0.09467204398965821,0.0,0.0,0.8968165751194384,0.8968165751194384,0.8968165751194384,0.09065755563256382,0.0,0.0,0.0,0.9057793710326182,0.9057793710326182,0.9057793710326182
6,0.1375,-1.27360511141677,-0.282425119050194,-0.142338243745853,-44.4901265167538,5.89724098536291,-13.4793230078496,-0.0001260716671822,-5.29081626154948e-06,0.0001261826374856,1.0,0.0,0.0,0.0946987191348351,0.0,0.0,0.8732100966630433,0.8732100966630433,0.8732100966630433,0.08786731979130542,0.0,0.0,0.0,0.8821779440688217,0.8821779440688217,0.8821779440688217
7,0.1375,-1.33442044566708,-0.284679501633257,-0.141334145190721,-44.5026675305175,5.68274059601942,-13.1270024051843,-0.0001257514086319,-5.28593773196917e-06,0.0001258624563188,1.0,0.0,0.0,0.09472541310118353,0.0,0.0,0.8503862569694185,0.8503862569694185,0.8503862569694185,0.08467132112810273,0.0,0.0,0.0,0.8593591608566084,0.8593591608566084,0.8593591608566084
8,0.1375,-1.3952357799174,-0.286885420641423,-0.140337721540346,-44.5152085442812,5.44283523093362,-12.7884824561837,-0.0001254390372196,-5.28105920238886e-06,0.0001255501558935,1.0,0.0,0.0,0.09475210706753194,0.0,0.0,0.8284564436385086,0.8284564436385086,0.8284564436385086,0.0810967950936462,0.0,0.0,0.0,0.8374344054322456,0.8374344054322456,0.8374344054322456
9,0.1375,-1.45605111416771,-0.289039048187143,-0.13934714603709,-44.5277407157256,5.17935280538102,-12.465453236338,-0.0001251329813385,-5.2761802180612e-06,0.0001252441659174,1.0,0.0,0.0,0.0947787822127086,0.0,0.0,0.8075301422120803,0.8075301422120803,0.8075301422120803,0.07717097713862593,0.0,0.0,0.0,0.8165131597698043,0.8165131597698043,0.8165131597698043
