Phase,x,y,Ux,Uy,Utot,PUx,PUy,PUtot,N,Q,M,pilenumber,UC1,UC2,UC3,UC4,UC5,UC6,UC7,UC8,UC9,UC10,UC11,UC12,UC13,UC14,UC_governing
4,1.2375,-1.154,-0.221114056425019,-0.197705611722173,0.296612432064411,-1.00318256954779e-05,-9.91827182588168e-05,9.96887612922955e-05,0.0701731238340386,-0.0016888980851073,-0.0002989202771732,2.0,0.0,0.0,0.0001975363182245309,0.0,0.0,2.945096743488977e-05,2.945096743488977e-05,2.945096743488977e-05,3.327956402002308e-05,0.0,0.0,0.0,2.9489988031907475e-05,2.9489988031907475e-05,0.0001975363182245309
4,1.2375,-1.17933927640914,-0.221975935675945,-0.196981126943466,0.29677412352011,-9.9814005807275e-06,-9.91877386695705e-05,9.96886947448705e-05,0.0668312703218388,-0.0016206095768748,-0.0003409222038337,2.0,0.0,0.0,0.00018812904941878543,0.0,0.0,3.358918577851948e-05,3.358918577851948e-05,3.358918577851948e-05,3.193394595011392e-05,0.0,0.0,0.0,3.3624578317754696e-05,3.3624578317754696e-05,0.00018812904941878543
4,1.2375,-1.20467855281827,-0.22282534587335,-0.196258691355004,0.296931993385618,-9.93070716504008e-06,-9.91925189737231e-05,9.96883883165446e-05,0.0634870589245855,-0.0015203805097218,-0.000380770638856,2.0,0.0,0.0,0.0001787151432010677,0.0,0.0,3.751523245983273e-05,3.751523245983273e-05,3.751523245983273e-05,2.9958942433679992e-05,0.0,0.0,0.0,3.7547171562242106e-05,3.7547171562242106e-05,0.0001787151432010677
4,1.2375,-1.23001782922741,-0.223662923463408,-0.195538919626036,0.297086809570394,-9.87971088761697e-06,-9.91970518953167e-05,9.9687831714533e-05,0.0601428475273217,-0.0013945138621907,-0.0004177742654429,2.0,0.0,0.0,0.00016930123698332043,0.0,0.0,4.116099584493814e-05,4.116099584493814e-05,4.116099584493814e-05,2.747875301820629e-05,0.0,0.0,0.0,4.1189658753782224e-05,4.1189658753782224e-05,0.00016930123698332043
4,1.2375,-1.25535710563654,-0.22448846511067,-0.194821184565454,0.297237892811854,-9.8283799161436e-06,-9.92013374343514e-05,9.96870222272694e-05,0.0568009940150901,-0.0012493126128239,-0.000451289508324,2.0,0.0,0.0,0.00015989396817748543,0.0,0.0,4.446306800945636e-05,4.446306800945636e-05,4.446306800945636e-05,2.4617577251177842e-05,0.0,0.0,0.0,4.4488634090515905e-05,4.4488634090515905e-05,0.00015989396817748543
4,1.2375,-1.25535710563654,-0.22448846511067,-0.194821184565454,0.297237892811854,-9.8283799161436e-06,-9.92013374343514e-05,9.96870222272694e-05,0.0567992524929022,-0.0012586190986026,-0.0004512895083232,2.0,0.0,0.0,0.00015988906581797358,0.0,0.0,4.4463068009377546e-05,4.4463068009377546e-05,4.4463068009377546e-05,2.480096060154383e-05,0.0,0.0,0.0,4.448863252274569e-05,4.448863252274569e-05,0.00015988906581797358
4,1.2375,-1.28433218520815,-0.22541624181943,-0.194006986404683,0.297407452579491,-9.76924184215022e-06,-9.92059358395636e-05,9.96857853054989e-05,0.0529778935145049,-0.0010829208522635,-0.0004852037455879,2.0,0.0,0.0,0.00014913199613140647,0.0,0.0,4.780445089148653e-05,4.780445089148653e-05,4.780445089148653e-05,2.1338844628526802e-05,0.0,0.0,0.0,4.782669124375667e-05,4.782669124375667e-05,0.00014913199613140647
4,1.2375,-1.31330726477977,-0.226328509321539,-0.193195426969872,0.297571952868178,-9.70959627011325e-06,-9.92102213785984e-05,9.96842228525613e-05,0.0491538383310387,-0.0009081217726531,-0.0005140515665475,2.0,0.0,0.0,0.00013836733666696728,0.0,0.0,5.064666769819864e-05,5.064666769819864e-05,5.064666769819864e-05,1.7894446643928557e-05,0.0,0.0,0.0,5.066581321805495e-05,5.066581321805495e-05,0.00013836733666696728
4,1.2375,-1.34228234435138,-0.227224661568352,-0.192387296289178,0.297731285891006,-9.64941773418104e-06,-9.92141794995405e-05,9.96823187750755e-05,0.0453297831475291,-0.0007344030226935,-0.00053785213769,2.0,0.0,0.0,0.00012760267720240593,0.0,0.0,5.299160679794195e-05,5.299160679794195e-05,5.299160679794195e-05,1.4471336444599039e-05,0.0,0.0,0.0,5.300788924117117e-05,5.300788924117117e-05,0.00012760267720240593
4,1.2375,-1.37125742392299,-0.228105014790797,-0.19158178594649,0.297885008819102,-9.58868167799665e-06,-9.92178247543052e-05,9.96800861019791e-05,0.0415084241690016,-0.0005619457653065,-0.0005566245734093,2.0,0.0,0.0,0.0001168456075154723,0.0,0.0,5.484115142659999e-05,5.484115142659999e-05,5.484115142659999e-05,1.1073083827382273e-05,0.0,0.0,0.0,5.485480432259565e-05,5.485480432259565e-05,0.0001168456075154723
4,1.2375,-1.37125742392299,-0.228105014790797,-0.19158178594649,0.297885008819102,-9.58868167799665e-06,-9.92178247543052e-05,9.96800861019791e-05,0.0415064327681186,-0.0005574050494041,-0.0005566245734098,2.0,0.0,0.0,0.00011684000175108497,0.0,0.0,5.484115142664927e-05,5.484115142664927e-05,5.484115142664927e-05,1.0983609484967434e-05,0.0,0.0,0.0,5.4854803012658464e-05,5.4854803012658464e-05,0.00011684000175108497
4,1.2375,-1.40438998945586,-0.229093195258576,-0.190669081779495,0.298057697200424,-9.51852416619658e-06,-9.92215937003493e-05,9.96771135152883e-05,0.0371367665372193,-0.0003668005301777,-0.0005719199099044,2.0,0.0,0.0,0.00010453945516057938,0.0,0.0,5.63481166324494e-05,5.63481166324494e-05,5.63481166324494e-05,7.22776692937729e-06,0.0,0.0,0.0,5.6359045130134676e-05,5.6359045130134676e-05,0.00010453945516057938
4,1.2375,-1.43752255498873,-0.230061556743467,-0.189759768166567,0.298223220936695,-9.44759813137352e-06,-9.92249406408518e-05,9.96736974112655e-05,0.0327640172376412,-0.0001806147554879,-0.0005809775644963,2.0,0.0,0.0,9.223022977679269e-05,0.0,0.0,5.724051741885694e-05,5.724051741885694e-05,5.724051741885694e-05,3.558995282914601e-06,0.0,0.0,0.0,5.724902383414162e-05,5.724902383414162e-05,9.223022977679269e-05
4,1.2375,-1.47065512052161,-0.231010169880282,-0.188854858075836,0.298382063815775,-9.37589175009634e-06,-9.92278728517704e-05,9.96698454739277e-05,0.0283912679380272,1.28496889293059e-06,-0.0005839384468399,2.0,0.0,0.0,7.992100439290494e-05,0.0,0.0,5.753223683750776e-05,5.753223683750776e-05,5.753223683750776e-05,2.5320180603618186e-08,0.0,0.0,0.0,5.753862420445093e-05,5.753862420445093e-05,7.992100439290494e-05
4,1.2375,-1.50378768605448,-0.231938747951146,-0.187953311608175,0.298533130733634,-9.30340229388094e-06,-9.92303903331049e-05,9.96655590457513e-05,0.0240216017070203,0.0001790313371922,-0.0005809401314899,2.0,0.0,0.0,6.762045780209646e-05,0.0,0.0,5.7236829351045344e-05,5.7236829351045344e-05,5.7236829351045344e-05,3.527794187355969e-06,0.0,0.0,0.0,5.724140187735871e-05,5.724140187735871e-05,6.762045780209646e-05
