,x,y,Ux,Uy,N,Q,M,PUx,PUy,PUtot,pile_number,UC1,UC2,UC3,UC4,UC5,UC6,UC7,UC8,UC9,UC10,UC11,UC12,UC13,UC14,UC_governing
0,0.1375,-1.104,-0.364431291897945,-0.148618388472671,-27.457604548002,3.006542469346,-1.94319706167319,-7.41565600037575e-05,-1.55123723288852e-06,7.41727829364895e-05,1.0,0.0,0.0,0.483079722454093,0.0,0.0,2.991445261138507,2.991445261138507,2.991445261138507,0.3702725739855761,0.0,0.0,0.0,3.2248112793848303,3.2248112793848303,3.2248112793848303
1,0.1375,-1.13119744429161,-0.365405131744239,-0.147828173822145,-27.458501277195,2.95169616315078,-1.86213678074295,-7.40871400921606e-05,-1.55048110173084e-06,7.41033623979523e-05,1.0,0.0,0.0,0.4830954992014386,0.0,0.0,2.866657406093827,2.866657406093827,2.866657406093827,0.3635179436500457,0.0,0.0,0.0,3.100038667442514,3.100038667442514,3.100038667442514
2,0.1375,-1.15839488858323,-0.366430455763308,-0.147041743506082,-27.4593986390935,2.87541727651478,-1.78283877509206,-7.39869428798556e-05,-1.54972497057315e-06,7.40031713117177e-05,1.0,0.0,0.0,0.48311128708038886,0.0,0.0,2.7445824771528398,2.7445824771528398,2.7445824771528398,0.35412377078089957,0.0,0.0,0.0,2.9779789928573095,2.9779789928573095,2.9779789928573095
3,0.1375,-1.18559233287484,-0.36746269516369,-0.146260223618405,-27.4602960009921,2.78019958710832,-1.7058642344765,-7.38571106921881e-05,-1.54896883941547e-06,7.38733517871202e-05,1.0,0.0,0.0,0.4831270749593409,0.0,0.0,2.626084395154681,2.626084395154681,2.626084395154681,0.3423971780901407,0.0,0.0,0.0,2.8594961657134497,2.8594961657134497,2.8594961657134497
4,0.1375,-1.21278977716646,-0.368482442861381,-0.145482451175026,-27.461192730185,2.6685368726017,-1.63175443955268,-7.36987858545035e-05,-1.54821270825778e-06,7.37150459473368e-05,1.0,0.0,0.0,0.4831428517066848,0.0,0.0,2.511996431972029,2.511996431972029,2.511996431972029,0.32864528828976924,0.0,0.0,0.0,2.7454234471272967,2.7454234471272967,2.7454234471272967
5,0.1375,-1.21278977716646,-0.368482442861381,-0.145482451175026,-27.461193435733,2.672752922494,-1.63175443955268,-7.36987858545035e-05,-1.54821270825778e-06,7.37150459473368e-05,1.0,0.0,0.0,0.4831428641198555,0.0,0.0,2.511996431972029,2.511996431972029,2.511996431972029,0.32916451848910616,0.0,0.0,0.0,2.7454234591219664,2.7454234591219664,2.7454234591219664
6,0.1375,-1.27360511141677,-0.37069466706096,-0.143778616393779,-27.4631985831658,2.40131695535032,-1.47737545586165,-7.32474873075262e-05,-1.54652195760718e-06,7.32638118516336e-05,1.0,0.0,0.0,0.4831781419993814,0.0,0.0,2.2743384567256784,2.2743384567256784,2.2743384567256784,0.29573565618255876,0.0,0.0,0.0,2.5077995736316527,2.5077995736316527,2.5077995736316527
7,0.1375,-1.33442044566708,-0.372789251758265,-0.142093110647147,-27.4652051453713,2.10821718880368,-1.34013410376922,-7.26720827515237e-05,-1.54483120695659e-06,7.26885005685377e-05,1.0,0.0,0.0,0.48321344476993544,0.0,0.0,2.063062925053333,2.063062925053333,2.063062925053333,0.259638775429897,0.0,0.0,0.0,2.2965581582597605,2.2965581582597605,2.2965581582597605
8,0.1375,-1.3952357799174,-0.374766960972071,-0.140431247420422,-27.4672117075767,1.79578275906298,-1.22128406529474,-7.19853705959395e-05,-1.54314045630599e-06,7.20019087406899e-05,1.0,0.0,0.0,0.48324874754048763,0.0,0.0,1.8800998116393595,1.8800998116393595,1.8800998116393595,0.2211607224233917,0.0,0.0,0.0,2.1136291636388096,2.1136291636388096,2.1136291636388096
9,0.1375,-1.45605111416771,-0.376631498791015,-0.138787319658958,-27.4692168550094,1.4663428023371,-1.12204187429943,-7.1199938247446e-05,-1.5414497056554e-06,7.12166221723214e-05,1.0,0.0,0.0,0.48328402542001186,0.0,0.0,1.7273219036168472,1.7273219036168472,1.7273219036168472,0.1805883433553113,0.0,0.0,0.0,1.960885352843018,1.960885352843018,1.960885352843018
10,0.1375,-1.45605111416771,-0.376631498791015,-0.138787319658958,-27.4692184326631,1.50418134723214,-1.12204187429943,-7.1199938247446e-05,-1.5414497056554e-06,7.12166221723214e-05,1.0,0.0,0.0,0.48328405317671264,0.0,0.0,1.7273219036168472,1.7273219036168472,1.7273219036168472,0.18524837246083822,0.0,0.0,0.0,1.960885379671759,1.960885379671759,1.960885379671759
11,0.1375,-1.59203833562578,-0.380366904461483,-0.135278928214126,-27.4737020786279,0.759874938337505,-0.970680567819901,-6.91462264512666e-05,-1.5376691635538e-06,6.91633216300835e-05,1.0,0.0,0.0,0.4833629369134374,0.0,0.0,1.4943094768699445,1.4943094768699445,1.4943094768699445,0.09358286210623931,0.0,0.0,0.0,1.7279492056515282,1.7279492056515282,1.7279492056515282
12,0.1375,-1.72802555708386,-0.383533435610168,-0.131855983214153,-27.4781888881207,0.252963927104079,-0.904726786720035,-6.67678395984694e-05,-1.53388850776537e-06,6.67854566399092e-05,1.0,0.0,0.0,0.4834418763081941,0.0,0.0,1.3927772494820143,1.3927772494820143,1.3927772494820143,0.031153926934117664,0.0,0.0,0.0,1.6264932972504016,1.6264932972504016,1.6264932972504016
13,0.1375,-1.86401277854193,-0.386131181443168,-0.12854186012544,-27.4826756976135,-0.0051836365392519,-0.890594794525361,-6.41444275970571e-05,-1.53010785197694e-06,6.41626746776721e-05,1.0,0.0,0.0,0.48352081570295063,0.0,0.0,1.3710218228631603,1.3710218228631603,1.3710218228631603,0.0006383939237725102,0.0,0.0,0.0,1.604814202081207,1.604814202081207,1.604814202081207
14,0.1375,-2.0,-0.388122507087384,-0.125309228065495,-27.4871593435782,-0.0031997026636014,-0.894244698090268,-6.13320880802348e-05,-1.52632730987534e-06,6.13510774423608e-05,1.0,0.0,0.0,0.4835996994396736,0.0,0.0,1.3766406491459933,1.3766406491459933,1.3766406491459933,0.00039406133567702786,0.0,0.0,0.0,1.610509318444136,1.610509318444136,1.610509318444136
15,0.1375,-2.0,-0.388122507087384,-0.125309228065495,-27.4871612353502,0.0188347318504312,-0.894244698090268,-6.13320880802348e-05,-1.52632730987534e-06,6.13510774423608e-05,1.0,0.0,0.0,0.4835997327228645,0.0,0.0,1.3766406491459933,1.3766406491459933,1.3766406491459933,0.0023196029038978763,0.0,0.0,0.0,1.6105093506356192,1.6105093506356192,1.6105093506356192
16,0.1375,-2.1,-0.387505514985268,-0.123034314558022,-27.490458343648,0.0468393292624834,-0.890877502572721,-5.91672978771385e-05,-1.52354709825886e-06,5.91869101562385e-05,1.0,0.0,0.0,0.483657740920871,0.0,0.0,1.371457036391032,1.371457036391032,1.371457036391032,0.005768526201311324,0.0,0.0,0.0,1.6053818467437122,1.6053818467437122,1.6053818467437122
17,0.1375,-2.2,-0.386058710364399,-0.12077882159788,-27.4937577782863,0.0662368747545174,-0.885171641179837,-5.69379444641527e-05,-1.52076700032922e-06,5.69582500790906e-05,1.0,0.0,0.0,0.4837157900477181,0.0,0.0,1.3626731758340596,1.3626731758340596,1.3626731758340596,0.008157442762965643,0.0,0.0,0.0,1.5966541413755477,1.5966541413755477,1.5966541413755477
18,0.1375,-2.3,-0.383782301572969,-0.118548218748005,-27.4970572129246,0.0785304809505257,-0.877863736620576,-5.46610353922006e-05,-1.51798690239957e-06,5.46821092715274e-05,1.0,0.0,0.0,0.48377383917456523,0.0,0.0,1.3514230577200324,1.3514230577200324,1.3514230577200324,0.009671469342058403,0.0,0.0,0.0,1.5854601851897305,1.5854601851897305,1.5854601851897305
