,x,y,Ux,Uy,N,Q,M,PUx,PUy,PUtot,pile_number,UC1,UC2,UC3,UC4,UC5,UC6,UC7,UC8,UC9,UC10,UC11,UC12,UC13,UC14,UC_governing
0,0.1375,-1.104,-0.244430936943167,-0.142159792781012,-63.1183298526915,9.41306284120741,-25.649859275702,-3.96056420868263e-05,-2.31350986723555e-06,3.9673154815512e-05,1.0,0.0,0.0,0.05639426344028501,0.0,0.0,0.45189142861645765,0.45189142861645765,0.45189142861645765,0.05887195095626575,0.0,0.0,0.0,0.4550717415654299,0.4550717415654299,0.4550717415654299
1,0.1375,-1.13119744429161,-0.245408682567249,-0.1418097060616,-63.1309401069456,9.38149054102755,-25.394332683214,-3.95306196878664e-05,-2.31258923122368e-06,3.95982065485181e-05,1.0,0.0,0.0,0.056405530310021816,0.0,0.0,0.44738963873575127,0.44738963873575127,0.44738963873575127,0.05867448888264309,0.0,0.0,0.0,0.4505712225853061,0.4505712225853061,0.4505712225853061
2,0.1375,-1.15839488858323,-0.24645299984468,-0.14146034706142,-63.1435592586015,9.34697170346489,-25.1395791602339,-3.94549970224034e-05,-2.31166859521181e-06,3.95226593453926e-05,1.0,0.0,0.0,0.05641680512931023,0.0,0.0,0.44290146855878637,0.44290146855878637,0.44290146855878637,0.0584585983328467,0.0,0.0,0.0,0.4460843244597849,0.4460843244597849,0.4460843244597849
3,0.1375,-1.18559233287484,-0.247529473464513,-0.14111193495902,-63.1561784102573,9.30820475081729,-24.8858261889182,-3.93787740904372e-05,-2.31074795919994e-06,3.94465132172241e-05,1.0,0.0,0.0,0.05642807994859855,0.0,0.0,0.43843092579709,0.43843092579709,0.43843092579709,0.058216138872680095,0.0,0.0,0.0,0.44161505400377543,0.44161505400377543,0.44161505400377543
4,0.1375,-1.21278977716646,-0.248615148677872,-0.140764247407711,-63.1687886645111,9.26388810538256,-24.6333123668998,-3.93019508919679e-05,-2.3098270958144e-06,3.93697681619693e-05,1.0,0.0,0.0,0.05643934681833508,0.0,0.0,0.43398221399127535,0.43398221399127535,0.43398221399127535,0.05793897006794651,0.0,0.0,0.0,0.43716761386055564,0.43716761386055564,0.43716761386055564
5,0.1375,-1.21278977716646,-0.248615148677872,-0.140764247407711,-63.1687985861658,9.26066780708168,-24.6333123668998,-3.93019508919679e-05,-2.3098270958144e-06,3.93697681619693e-05,1.0,0.0,0.0,0.05643935568302479,0.0,0.0,0.43398221399127535,0.43398221399127535,0.43398221399127535,0.057918829413747965,0.0,0.0,0.0,0.4371676148611903,0.4371676148611903,0.4371676148611903
6,0.1375,-1.27360511141677,-0.251048824098679,-0.139993651792294,-63.1969959718919,9.14433382968321,-24.0736717054893,-3.91279609175399e-05,-2.30776845455694e-06,3.91959579651318e-05,1.0,0.0,0.0,0.056464549169650255,0.0,0.0,0.42412263483030044,0.42412263483030044,0.42412263483030044,0.05719124389482758,0.0,0.0,0.0,0.42731088014323226,0.42731088014323226,0.42731088014323226
7,0.1375,-1.33442044566708,-0.253457741381691,-0.13922664341745,-63.2252132528133,9.00549179701079,-23.5215413991711,-3.89509077649564e-05,-2.30570981329947e-06,3.90190916534109e-05,1.0,0.0,0.0,0.056489760432013564,0.0,0.0,0.4143953708237908,0.4143953708237908,0.4143953708237908,0.056322886647452566,0.0,0.0,0.0,0.41758646385745707,0.41758646385745707,0.41758646385745707
8,0.1375,-1.3952357799174,-0.255833223893168,-0.138464290241994,-63.2534305337346,8.84450382060657,-22.9785232711046,-3.87707914342172e-05,-2.30365094466833e-06,3.88391693540226e-05,1.0,0.0,0.0,0.056514971694376775,0.0,0.0,0.4048286424055551,0.4048286424055551,0.4048286424055551,0.055316022419379274,0.0,0.0,0.0,0.4080225844311713,0.4080225844311713,0.4080225844311713
9,0.1375,-1.45605111416771,-0.258170690526204,-0.137705489590801,-63.2816279194603,8.66173201201273,-22.4462154153653,-3.85876119253226e-05,-2.30159230341087e-06,3.86561912406075e-05,1.0,0.0,0.0,0.05654016518100187,0.0,0.0,0.3954506043115347,0.3954506043115347,0.3954506043115347,0.05417291595836425,0.0,0.0,0.0,0.3986473945902297,0.3986473945902297,0.3986473945902297
10,0.1375,-1.45605111416771,-0.258170690526204,-0.137705489590801,-63.2816501049563,8.68271851000421,-22.4462154153653,-3.85876119253226e-05,-2.30159230341087e-06,3.86561912406075e-05,1.0,0.0,0.0,0.05654018500305212,0.0,0.0,0.3954506043115347,0.3954506043115347,0.3954506043115347,0.0543041714382586,0.0,0.0,0.0,0.3986473968317141,0.3986473968317141,0.3986473968317141
11,0.1375,-1.59203833562578,-0.26320439365351,-0.136042248463879,-63.3447013762279,8.28000686186993,-21.2943829932414,-3.81668905902188e-05,-2.29698866860417e-06,3.82359476706074e-05,1.0,0.0,0.0,0.056596519351737117,0.0,0.0,0.3751579706106787,0.3751579706106787,0.3751579706106787,0.05178549916352455,0.0,0.0,0.0,0.37836113661341025,0.37836113661341025,0.37836113661341025
