,x,y,Ux,Uy,N,Q,M,pile_number,UC1,UC2,UC3,UC4,UC5,UC6,UC7,UC8,UC9,UC10,UC11,UC12,UC13,UC14,UC_governing
0,0.1375,-1.104,-0.276156406405697,-0.145183290548303,-44.4551637970442,6.28536874398649,-14.5185115104866,1.0,0.0,0.0,0.09462429981906352,0.0,0.0,0.9405302352419873,0.9405302352419873,0.9405302352419873,0.0936503200064072,0.0,0.0,0.0,0.9494839933582353,0.9494839933582353,0.9494839933582353
1,0.1375,-1.13119744429161,-0.277084163783409,-0.144722544293264,-44.4607683544953,6.25658351741286,-14.3479588425042,1.0,0.0,0.0,0.09463622930664853,0.0,0.0,0.9294815860176661,0.9294815860176661,0.9294815860176661,0.09322142779818846,0.0,0.0,0.0,0.9384376019150467,0.9384376019150467,0.9384376019150467
2,0.1375,-1.15839488858323,-0.278078867224709,-0.144263005092557,-44.4663768663518,6.21231224720242,-14.1783277351479,1.0,0.0,0.0,0.09464816721131739,0.0,0.0,0.9184926368274586,0.9184926368274586,0.9184926368274586,0.09256179766491035,0.0,0.0,0.0,0.9274509123839201,0.9274509123839201,0.9274509123839201
3,0.1375,-1.18559233287484,-0.279101865054697,-0.143805035357101,-44.4719853782083,6.15357010772682,-14.0100938339579,1.0,0.0,0.0,0.09466010511598627,0.0,0.0,0.907594200679399,0.907594200679399,0.907594200679399,0.09168655543429116,0.0,0.0,0.0,0.9165547361799685,0.9165547361799685,0.9165547361799685
4,0.1375,-1.21278977716646,-0.280130559974144,-0.143348265766369,-44.4775899356592,6.08137227335775,-13.8437248275349,1.0,0.0,0.0,0.09467203460357085,0.0,0.0,0.8968165751194385,0.8968165751194385,0.8968165751194385,0.09061082693404973,0.0,0.0,0.0,0.9057793692554181,0.9057793692554181,0.9057793692554181
5,0.1375,-1.21278977716646,-0.280130559974144,-0.143348265766369,-44.4775943453093,6.08450848368856,-13.8437248275349,1.0,0.0,0.0,0.09467204398965824,0.0,0.0,0.8968165751194385,0.8968165751194385,0.8968165751194385,0.09065755563256384,0.0,0.0,0.0,0.9057793710326183,0.9057793710326183,0.9057793710326183
6,0.1375,-1.27360511141677,-0.282425119050194,-0.142338243745853,-44.4901265167538,5.89724098536291,-13.4793230078496,1.0,0.0,0.0,0.09469871913483513,0.0,0.0,0.8732100966630436,0.8732100966630436,0.8732100966630436,0.08786731979130544,0.0,0.0,0.0,0.882177944068822,0.882177944068822,0.882177944068822
7,0.1375,-1.33442044566708,-0.284679501633257,-0.141334145190721,-44.5026675305175,5.68274059601942,-13.1270024051843,1.0,0.0,0.0,0.09472541310118353,0.0,0.0,0.8503862569694187,0.8503862569694187,0.8503862569694187,0.08467132112810274,0.0,0.0,0.0,0.8593591608566086,0.8593591608566086,0.8593591608566086
8,0.1375,-1.3952357799174,-0.286885420641423,-0.140337721540346,-44.5152085442812,5.44283523093362,-12.7884824561837,1.0,0.0,0.0,0.09475210706753195,0.0,0.0,0.8284564436385087,0.8284564436385087,0.8284564436385087,0.08109679509364622,0.0,0.0,0.0,0.8374344054322457,0.8374344054322457,0.8374344054322457
9,0.1375,-1.45605111416771,-0.289039048187143,-0.13934714603709,-44.5277407157256,5.17935280538102,-12.465453236338,1.0,0.0,0.0,0.09477878221270863,0.0,0.0,0.8075301422120804,0.8075301422120804,0.8075301422120804,0.07717097713862595,0.0,0.0,0.0,0.8165131597698044,0.8165131597698044,0.8165131597698044
