,x,y,Ux,Uy,N,Q,M,pile_number,UC1,UC2,UC3,UC4,UC5,UC6,UC7,UC8,UC9,UC10,UC11,UC12,UC13,UC14,UC_governing
0,0.1375,-1.104,-0.348162478272125,-0.147237172451396,-29.4249015598451,3.41634010852675,-3.59937417668618,1.0,0.0,0.0,0.30051943014925514,0.0,0.0,2.450717632867802,2.450717632867802,2.450717632867802,0.24423993615261416,0.0,0.0,0.0,2.5410295607650353,2.5410295607650353,2.5410295607650353
1,0.1375,-1.13119744429161,-0.349132602748623,-0.146541937702115,-29.4263026992085,3.36847155523931,-3.50708017852335,1.0,0.0,0.0,0.30053374012416506,0.0,0.0,2.3878771173774793,2.3878771173774793,2.3878771173774793,0.24081773226563516,0.0,0.0,0.0,2.4781976463304987,2.4781976463304987,2.4781976463304987
2,0.1375,-1.15839488858323,-0.350159140604143,-0.145849568407942,-29.4277048271738,3.30043382460633,-3.41633315157225,1.0,0.0,0.0,0.300548060195764,0.0,0.0,2.3260898932206007,2.3260898932206007,2.3260898932206007,0.2359535997560257,0.0,0.0,0.0,2.4164190297080372,2.4164190297080372,2.4164190297080372
3,0.1375,-1.18559233287484,-0.351198302527038,-0.145160919404671,-29.4291069551391,3.21423409417019,-3.32767652298516,1.0,0.0,0.0,0.3005623802673629,0.0,0.0,2.265725965414398,2.265725965414398,2.265725965414398,0.22979103514322594,0.0,0.0,0.0,2.356063709846381,2.356063709846381,2.356063709846381
4,0.1375,-1.21278977716646,-0.352229534877066,-0.144475111212553,-29.4305080945024,3.11187954147327,-3.24163776768885,1.0,0.0,0.0,0.30057669024227185,0.0,0.0,2.207144477532304,2.207144477532304,2.207144477532304,0.22247353494667624,0.0,0.0,0.0,2.2974908242493024,2.2974908242493024,2.2974908242493024
5,0.1375,-1.21278977716646,-0.352229534877066,-0.144475111212553,-29.4305091969182,3.11400313748386,-3.24163776768885,1.0,0.0,0.0,0.3005767015013535,0.0,0.0,2.207144477532304,2.207144477532304,2.207144477532304,0.2226253544194348,0.0,0.0,0.0,2.2974908310177375,2.2974908310177375,2.2974908310177375
6,0.1375,-1.27360511141677,-0.354481748284986,-0.142968393725162,-29.4336422397807,2.86883294038155,-3.05964064363968,1.0,0.0,0.0,0.30060869957800823,0.0,0.0,2.083227502207119,2.083227502207119,2.083227502207119,0.20509772210398167,0.0,0.0,0.0,2.1735930924691003,2.1735930924691003,2.1735930924691003
7,0.1375,-1.33442044566708,-0.35663159758071,-0.141475606721623,-29.4367774932243,2.60176169935415,-2.89315079297472,1.0,0.0,0.0,0.3006407202315465,0.0,0.0,1.9698690146786577,1.9698690146786577,1.9698690146786577,0.18600434709312516,0.0,0.0,0.0,2.0602538573400007,2.0602538573400007,2.0602538573400007
8,0.1375,-1.3952357799174,-0.35867497142307,-0.140000811251687,-29.4399127466678,2.31321390373301,-2.74354862744223,1.0,0.0,0.0,0.30067274088508367,0.0,0.0,1.868008900395339,1.868008900395339,1.868008900395339,0.16537557684756662,0.0,0.0,0.0,1.9584129975066877,1.9584129975066877,1.9584129975066877
9,0.1375,-1.45605111416771,-0.360611752086809,-0.138539681580271,-29.4430457895302,2.00361404284945,-2.612212218286,1.0,0.0,0.0,0.30070473896173744,0.0,0.0,1.7785854512186694,1.7785854512186694,1.7785854512186694,0.14324175882800547,0.0,0.0,0.0,1.869008791252716,1.869008791252716,1.869008791252716
10,0.1375,-1.45605111416771,-0.360611752086809,-0.138539681580271,-29.4430482546071,2.04996732131619,-2.612212218286,1.0,0.0,0.0,0.30070476413781166,0.0,0.0,1.7785854512186694,1.7785854512186694,1.7785854512186694,0.1465556331536103,0.0,0.0,0.0,1.8690088063938464,1.8690088063938464,1.8690088063938464
11,0.1375,-1.59203833562578,-0.364517591523678,-0.13540039460412,-29.4500539514242,1.30117305229302,-2.3868521589548,1.0,0.0,0.0,0.30077631401236227,0.0,0.0,1.625143812745955,1.625143812745955,1.625143812745955,0.09302306360609848,0.0,0.0,0.0,1.7156102038168182,1.7156102038168182,1.7156102038168182
12,0.1375,-1.72802555708386,-0.367852809636916,-0.132326569820836,-29.457064591251,0.784971984807954,-2.24792701243806,1.0,0.0,0.0,0.30084791437036,0.0,0.0,1.5305533952165462,1.5305533952165462,1.5305533952165462,0.056118975675920856,0.0,0.0,0.0,1.6210628627975416,1.6210628627975416,1.6210628627975416
13,0.1375,-1.86401277854193,-0.370614580992786,-0.129336333083235,-29.4640752310778,0.516725816609818,-2.16207698191033,1.0,0.0,0.0,0.3009195147283577,0.0,0.0,1.4721004049830466,1.4721004049830466,1.4721004049830466,0.03694160313318851,0.0,0.0,0.0,1.562652959327397,1.562652959327397,1.562652959327397
14,0.1375,-2.0,-0.372770357481575,-0.126408856519814,-29.4710809278948,0.511796245447426,-2.09532301878607,1.0,0.0,0.0,0.30099106460290737,0.0,0.0,1.4266494164328518,1.4266494164328518,1.4266494164328518,0.036589179748011666,0.0,0.0,0.0,1.5172450374036435,1.5172450374036435,1.5172450374036435
15,0.1375,-2.0,-0.372770357481575,-0.126408856519814,-29.4710838837827,0.532469797303451,-2.09532301878607,1.0,0.0,0.0,0.3009910947916829,0.0,0.0,1.4266494164328518,1.4266494164328518,1.4266494164328518,0.038067166957997264,0.0,0.0,0.0,1.5172450555767476,1.5172450555767476,1.5172450555767476
16,0.1375,-2.1,-0.372283253147896,-0.124335121117381,-29.4762356154973,0.562749100486768,-2.04051386772681,1.0,0.0,0.0,0.30104370993725965,0.0,0.0,1.3893313310241522,1.3893313310241522,1.3893313310241522,0.04023188558708836,0.0,0.0,0.0,1.4799586463169412,1.4799586463169412,1.4799586463169412
