,x,y,Ux,Uy,N,Q,M,PUx,PUy,PUtot,pile_number,UC1,UC2,UC3,UC4,UC5,UC6,UC7,UC8,UC9,UC10,UC11,UC12,UC13,UC14,UC_governing
0,0.1375,-1.104,-0.285786777108993,-0.144878062859517,-42.2216924327847,5.79061328492812,-12.6954931640824,-6.01421779720113e-05,-1.14860301891895e-06,6.01531450558668e-05,1.0,0.0,0.0,0.11312642213516723,0.0,0.0,1.161507902690633,1.161507902690633,1.161507902690633,0.10860529922020389,0.0,0.0,0.0,1.174305490075737,1.174305490075737,1.174305490075737
1,0.1375,-1.13119744429161,-0.286723958348917,-0.144385815931707,-42.2262321243218,5.76185917412706,-12.5383890828627,-6.01239880779758e-05,-1.14815270535473e-06,6.01349498797113e-05,1.0,0.0,0.0,0.11313858552871206,0.0,0.0,1.1471344845395453,1.1471344845395453,1.1471344845395453,0.10806600421746415,0.0,0.0,0.0,1.159934824074983,1.159934824074983,1.159934824074983
2,0.1375,-1.15839488858323,-0.287727195884595,-0.143894945635438,-42.2307750189288,5.71524214122375,-12.3822404876282,-6.01020255999174e-05,-1.14770250547735e-06,6.01129828094914e-05,1.0,0.0,0.0,0.1131507575043818,0.0,0.0,1.1328484835930024,1.1328484835930024,1.1328484835930024,0.1071916828704663,0.0,0.0,0.0,1.145651577516818,1.145651577516818,1.145651577516818
3,0.1375,-1.18559233287484,-0.288756870421532,-0.143405864935309,-42.2353179135356,5.65116775007513,-12.2275954564609,-6.00763014517724e-05,-1.14725219191314e-06,6.00872547527018e-05,1.0,0.0,0.0,0.11316292948005101,0.0,0.0,1.1187000433952763,1.1187000433952763,1.1187000433952763,0.10598994169373108,0.0,0.0,0.0,1.1315058920037833,1.1315058920037833,1.1315058920037833
4,0.1375,-1.21278977716646,-0.289790597719165,-0.142918152452072,-42.2398576050725,5.57004156453811,-12.0749991980221,-6.00468083575834e-05,-1.14680187834892e-06,6.0057758437029e-05,1.0,0.0,0.0,0.11317509287359531,0.0,0.0,1.1047390449679655,1.1047390449679655,1.1047390449679655,0.10446838720177863,0.0,0.0,0.0,1.1175476466149123,1.1175476466149123,1.1175476466149123
5,0.1375,-1.21278977716646,-0.289790597719165,-0.142918152452072,-42.239861176898,5.5750214609556,-12.0749991980221,-6.00468083575834e-05,-1.14680187834892e-06,6.0057758437029e-05,1.0,0.0,0.0,0.1131751024437432,0.0,0.0,1.1047390449679655,1.1047390449679655,1.1047390449679655,0.10456178717754887,0.0,0.0,0.0,1.1175476487811173,1.1175476487811173,1.1175476487811173
6,0.1375,-1.27360511141677,-0.292090578980671,-0.141840524941709,-42.2500122357718,5.36526822047799,-11.7423006443055,-5.99672421230935e-05,-1.14579495402722e-06,5.99781874845046e-05,1.0,0.0,0.0,0.11320230061854643,0.0,0.0,1.0743005267976864,1.0743005267976864,1.0743005267976864,0.10062778013484563,0.0,0.0,0.0,1.0871152876630181,1.0871152876630181,1.0871152876630181
7,0.1375,-1.33442044566708,-0.294342625673191,-0.140769644508694,-42.2601704569277,5.13572330812416,-11.4228273290252,-5.98688238824252e-05,-1.14478802970552e-06,5.9879767974649e-05,1.0,0.0,0.0,0.11322951798356454,0.0,0.0,1.0450719828095991,1.0450719828095991,1.0450719828095991,0.09632257226410922,0.0,0.0,0.0,1.0578929065523894,1.0578929065523894,1.0578929065523894
8,0.1375,-1.3952357799174,-0.296538679085276,-0.139707502280661,-42.2703286780835,4.8873155970663,-11.1178769974146,-5.97514954279177e-05,-1.14378110538382e-06,5.97624417263008e-05,1.0,0.0,0.0,0.11325673534858237,0.0,0.0,1.0171721434322731,1.0171721434322731,1.0171721434322731,0.09166358495817661,0.0,0.0,0.0,1.029999231534092,1.029999231534092,1.029999231534092
9,0.1375,-1.45605111416771,-0.298675193005996,-0.138652015564553,-42.2804797369571,4.62097396047655,-10.8287349323281,-5.96151876379736e-05,-1.14277418106212e-06,5.96261396531731e-05,1.0,0.0,0.0,0.11328393352338506,0.0,0.0,0.9907185989139389,0.9907185989139389,0.9907185989139389,0.08666823960988375,0.0,0.0,0.0,1.0035518485084696,1.0035518485084696,1.0035518485084696
