x,y,Ux,Uy,N,Q,M,pile_number
0.1375,-1.104,-0.241615469858257,-0.142196906486215,-63.8296502086561,9.53038202101156,-26.2364422344186,1.0
0.1375,-1.13119744429161,-0.242592521423268,-0.141863062492365,-63.8439978757329,9.51315138015292,-25.9775166645568,1.0
0.1375,-1.15839488858323,-0.243635829348682,-0.141529889888724,-63.858355666089,9.48760962504284,-25.7190502180372,1.0
0.1375,-1.18559233287484,-0.24471171868587,-0.141197590982974,-63.8727134564452,9.45324503323979,-25.461399869477,1.0
0.1375,-1.21278977716646,-0.245797261201736,-0.140865960679353,-63.8870611235217,9.40954588230226,-25.2049271019477,1.0
0.1375,-1.21278977716646,-0.245797261201736,-0.140865960679353,-63.8870724122358,9.40829389946384,-25.2049271019477,1.0
0.1375,-1.27360511141677,-0.248232002500859,-0.140130741719741,-63.9191547711379,9.29716620155521,-24.6361490033854,1.0
0.1375,-1.33442044566708,-0.250643765191181,-0.139398834506335,-63.951259766381,9.16242207426424,-24.0745879014605,1.0
0.1375,-1.3952357799174,-0.253023834976562,-0.138671225979092,-63.9833647616241,9.00398862493264,-23.5219398933731,1.0
0.1375,-1.45605111416771,-0.255367522843287,-0.137946898626342,-64.0154471205258,8.8217929609021,-22.9799053442282,1.0
0.1375,-1.45605111416771,-0.255367522843287,-0.137946898626342,-64.0154723628579,8.84390137949812,-22.9799053442282,1.0
0.1375,-1.59203833562578,-0.260421013790114,-0.136358195213755,-64.0872106982414,8.45035698018218,-21.8056584424625,1.0
0.1375,-1.72802555708386,-0.265209268961195,-0.134785558887155,-64.1589996500222,8.18257351573777,-20.6759614753133,1.0
0.1375,-1.86401277854193,-0.269712254077933,-0.133233660862348,-64.230788601803,8.04379057372261,-19.5738489205821,1.0
0.1375,-2.0,-0.273871247722221,-0.13169750274424,-64.3025269371861,8.0372477416944,-18.4822300281052,1.0
0.1375,-2.0,-0.273871247722221,-0.13169750274424,-64.3025572054305,8.03974766747894,-18.4822300281052,1.0
0.1375,-2.1,-0.275051930893258,-0.130587984477455,-64.3553109381815,8.05707762128398,-17.6776106394909,1.0
0.1375,-2.2,-0.275542700519529,-0.129482338351676,-64.4081018923692,8.07909405219953,-16.8706597866106,1.0
0.1375,-2.3,-0.27535299453811,-0.128381704264983,-64.4608928465569,8.1061931789048,-16.0612490679094,1.0
0.1375,-2.4,-0.274482114944196,-0.127284884029619,-64.5136465793076,8.13877122007904,-15.2492372020324,1.0
0.1375,-2.4,-0.274482114944196,-0.127284884029619,-64.5136760796179,8.13834201042933,-15.2492372020324,1.0
0.1375,-2.53,-0.272365960038408,-0.125873825304285,-64.5822559321942,8.1996475956767,-14.1876727209838,1.0
0.1375,-2.66,-0.269160870287681,-0.124469055322096,-64.6508841726382,8.27391470448918,-13.1167518153852,1.0
0.1375,-2.79,-0.264912213936557,-0.123072405612656,-64.7195124130822,8.35952815755368,-12.0354663231822,1.0
0.1375,-2.92,-0.259668811210506,-0.12168191957875,-64.7880922656582,8.45487277555711,-10.9428686797452,1.0
0.1375,-2.92,-0.259668811210506,-0.12168191957875,-64.788125613835,8.45357454826365,-10.9428686797452,1.0
