x,y,Ux,Uy,N,Q,M,pile_number
0.1375,-1.104,-0.262179088140522,-0.145676315818566,-47.0378564961596,7.15873496017939,-17.2441876548571,1.0
0.1375,-1.13119744429161,-0.263098019694589,-0.145267431966649,-47.0459270588896,7.13003056273401,-17.0498822330093,1.0
0.1375,-1.15839488858323,-0.264084538394606,-0.14485950954873,-47.0540033159638,7.08521348005722,-16.8565001065255,1.0
0.1375,-1.18559233287484,-0.26510180189254,-0.144452837648629,-47.062079573038,7.0263260616367,-16.6645212566121,1.0
0.1375,-1.21278977716646,-0.266126950085523,-0.144047122294034,-47.0701501357679,6.95541065696008,-16.4744091958585,1.0
0.1375,-1.21278977716646,-0.266126950085523,-0.144047122294034,-47.0701564856665,6.95548186686197,-16.4744091958585,1.0
0.1375,-1.27360511141677,-0.268421179339403,-0.143148962760151,-47.0882028125476,6.78603857784061,-16.0565132156656,1.0
0.1375,-1.33442044566708,-0.270685331400356,-0.142255531224244,-47.1062618723692,6.58889926104243,-15.6495866118194,1.0
0.1375,-1.3952357799174,-0.272910862769493,-0.141368230112185,-47.1243209321909,6.36470065113676,-15.2554640257292,1.0
0.1375,-1.45605111416771,-0.275093548386495,-0.140485603571207,-47.1423672590718,6.11407948279289,-14.8759724882098,1.0
0.1375,-1.45605111416771,-0.275093548386495,-0.140485603571207,-47.1423814578765,6.14800804267722,-14.8759724882098,1.0
0.1375,-1.59203833562578,-0.279763858576658,-0.138556000182383,-47.1827342715268,5.6054200799605,-14.0789854730033,1.0
0.1375,-1.72802555708386,-0.284138446392001,-0.136649179717402,-47.2231155568977,5.2462150331412,-13.3432007423766,1.0
0.1375,-1.86401277854193,-0.288199362824055,-0.134771697117755,-47.2634968422686,5.07744264312931,-12.6431918164641,1.0
0.1375,-2.0,-0.291894650515883,-0.132916429873547,-47.3038496559186,5.10615265083481,-11.9532517673383,1.0
0.1375,-2.0,-0.291894650515883,-0.132916429873547,-47.3038666818,5.11536305462477,-11.9532517673383,1.0
0.1375,-2.1,-0.292709089947055,-0.131580433892345,-47.3335406564716,5.16230664221165,-11.4395841849309,1.0
0.1375,-2.2,-0.292824052214894,-0.130249872947469,-47.3632355682008,5.22155512295412,-10.920382202693,1.0
0.1375,-2.3,-0.292247123946723,-0.128926334406551,-47.3929304799299,5.29380602337167,-10.3945986306113,1.0
0.1375,-2.4,-0.290976165456109,-0.127608130472346,-47.4226044546014,5.37975686998377,-9.86116286761236,1.0
0.1375,-2.4,-0.290976165456109,-0.127608130472346,-47.4226210485231,5.37661982977367,-9.86116286761235,1.0
0.1375,-2.53,-0.288323017587762,-0.12591512161516,-47.4611972155963,5.50974232323691,-9.15379169440462,1.0
0.1375,-2.66,-0.284562809248384,-0.12423085883497,-47.4998006008442,5.64938594681328,-8.42833696978368,1.0
0.1375,-2.79,-0.279742362682947,-0.122557861964535,-47.5384039860919,5.79501215966757,-7.68435278101399,1.0
0.1375,-2.92,-0.273912401293328,-0.120893396509291,-47.576980153165,5.94608242096458,-6.92140848695325,1.0
0.1375,-2.92,-0.273912401293328,-0.120893396509291,-47.5769989115112,5.94492015282779,-6.92140848695325,1.0
0.1375,-3.05,-0.267066182571142,-0.119250934873707,-47.6155750785844,6.09724152762097,-6.13891696512911,1.0
0.1375,-3.18,-0.259249242971414,-0.117616708801642,-47.6541784638322,6.25550346440896,-5.33586028797029,1.0
0.1375,-3.31,-0.250481999460578,-0.115993087153287,-47.6927818490801,6.4195952170139,-4.51185769330374,1.0
0.1375,-3.44,-0.240781515223269,-0.114377492796539,-47.7313580161531,6.58940603925792,-3.66652595156366,1.0
0.1375,-3.44,-0.240781515223269,-0.114377492796539,-47.7313767744993,6.58910599805388,-3.66652595156366,1.0
0.1375,-3.57,-0.230142189503387,-0.112782591112772,-47.7699529415725,6.76564997636454,-2.79871320864347,1.0
0.1375,-3.7,-0.218561313757417,-0.111195429542413,-47.8085563268203,6.94548100635431,-1.90730154595901,1.0
0.1375,-3.83,-0.206006201325992,-0.109618230302487,-47.8471597120681,7.12794710314561,-0.992356681079314,1.0
0.1375,-3.96,-0.19244086205413,-0.108048568913299,-47.8857358791411,7.31239628186087,-0.0539624599861054,1.0
0.1375,-3.96,-0.19244086205413,-0.108048568913299,-47.8857546374873,7.30961705886802,-0.0539624599861059,1.0
0.1375,-4.09,-0.177810799782631,-0.106498326880779,-47.9243308045605,7.49410108377136,0.908140415245317,1.0
0.1375,-4.22,-0.162044993489931,-0.104955343669419,-47.9629341898083,7.66843231847706,1.89408731406697,1.0
0.1375,-4.35,-0.145052772916552,-0.103421698914469,-48.0015375750561,7.83051549009868,2.90186313612334,1.0
0.1375,-4.48,-0.126728452783824,-0.101895116357594,-48.0401137421291,7.97825532574976,3.92937691540208,1.0
0.1375,-4.48,-0.126728452783824,-0.101895116357594,-48.0401325004752,7.9679085012173,3.92937691540208,1.0
0.1375,-4.61,-0.106941566438047,-0.100386715344282,-48.0787086675484,8.09813201993344,4.97389437299319,1.0
0.1375,-4.74,-0.085519099326927,-0.098885105138121,-48.1173120527961,8.1770551049951,6.03273000272535,1.0
0.1375,-4.87,-0.0621803513946978,-0.0973922265933923,-48.1559154380438,8.19684090887728,7.09785880761683,1.0
0.1375,-5.0,-0.0369469805804644,-0.0959059475129588,-48.1944916051168,8.14965258405502,8.1609473737609,1.0
0.1375,-5.0,-0.0369469805804644,-0.0959059475129588,-48.1945106964319,7.99463553823967,8.1609473737609,1.0
0.1375,-5.13461538461539,-0.0336403958675986,-0.0944081815519527,-48.2344564315551,7.30940339632305,9.19166524292086,1.0
0.1375,-5.26923076923077,-0.0310303948368072,-0.0929346850778494,-48.2744303511677,6.52959869951009,10.1247141363795,1.0
0.1375,-5.40384615384616,-0.0287753935504604,-0.0914923690035022,-48.3144042707802,5.63823770009234,10.9450373663247,1.0
0.1375,-5.53846153846154,-0.0267804556018384,-0.0900736091742334,-48.3543500059032,4.61833665036138,11.6368446114184,1.0
0.1375,-5.53846153846154,-0.0267804556018384,-0.0900736091742334,-48.3543694301841,4.662067532085,11.6368446114184,1.0
0.1375,-5.67307692307692,-0.0249763116386171,-0.0887153908270971,-48.3943151653052,3.73152254167262,12.2016171623833,1.0
0.1375,-5.80769230769231,-0.0233247721921941,-0.0873797784710814,-48.4342890849137,2.81557307355555,12.6420321924126,1.0
0.1375,-5.94230769230769,-0.0218207976769547,-0.0860732214973782,-48.4742630045222,1.92268970553542,12.9608657163286,1.0
0.1375,-6.07692307692308,-0.0204394405199118,-0.0847886246088549,-48.5142087396432,1.06134301541387,13.1612014569767,1.0
0.1375,-6.07692307692308,-0.0204394405199118,-0.0847886246088549,-48.514228163918,1.06357853015625,13.1612014569767,1.0
0.1375,-6.21153846153846,-0.0191676720796022,-0.0835605025879774,-48.5541738990377,0.263406516474967,13.2500148215206,1.0
0.1375,-6.34615384615385,-0.0179937941405824,-0.08235348139275,-48.5941478186433,-0.490699188006134,13.2341365052671,1.0
0.1375,-6.48076923076923,-0.0169100233283869,-0.0811735940498325,-48.6341217382489,-1.19693983002242,13.1200196053837,1.0
0.1375,-6.61538461538462,-0.0159115931739502,-0.0800142244400257,-48.6740674733684,-1.85351665630926,12.9141588610734,1.0
0.1375,-6.61538461538462,-0.0159115931739502,-0.0800142244400257,-48.6740868976385,-1.84046783856213,12.9141588610734,1.0
0.1375,-6.75,-0.0149949544955404,-0.0789076585556457,-48.7140326327568,-2.40493448571035,12.627781471232,1.0
