x,y,Ux,Uy,N,Q,M,pile_number
0.1375,-1.104,-0.348162478272125,-0.147237172451396,-29.4249015598451,3.41634010852675,-3.59937417668618,1.0
0.1375,-1.13119744429161,-0.349132602748623,-0.146541937702115,-29.4263026992085,3.36847155523931,-3.50708017852335,1.0
0.1375,-1.15839488858323,-0.350159140604143,-0.145849568407942,-29.4277048271738,3.30043382460633,-3.41633315157225,1.0
0.1375,-1.18559233287484,-0.351198302527038,-0.145160919404671,-29.4291069551391,3.21423409417019,-3.32767652298516,1.0
0.1375,-1.21278977716646,-0.352229534877066,-0.144475111212553,-29.4305080945024,3.11187954147327,-3.24163776768885,1.0
0.1375,-1.21278977716646,-0.352229534877066,-0.144475111212553,-29.4305091969182,3.11400313748386,-3.24163776768885,1.0
0.1375,-1.27360511141677,-0.354481748284986,-0.142968393725162,-29.4336422397807,2.86883294038155,-3.05964064363968,1.0
0.1375,-1.33442044566708,-0.35663159758071,-0.141475606721623,-29.4367774932243,2.60176169935415,-2.89315079297472,1.0
0.1375,-1.3952357799174,-0.35867497142307,-0.140000811251687,-29.4399127466678,2.31321390373301,-2.74354862744223,1.0
0.1375,-1.45605111416771,-0.360611752086809,-0.138539681580271,-29.4430457895302,2.00361404284945,-2.612212218286,1.0
0.1375,-1.45605111416771,-0.360611752086809,-0.138539681580271,-29.4430482546071,2.04996732131619,-2.612212218286,1.0
0.1375,-1.59203833562578,-0.364517591523678,-0.13540039460412,-29.4500539514242,1.30117305229302,-2.3868521589548,1.0
0.1375,-1.72802555708386,-0.367852809636916,-0.132326569820836,-29.457064591251,0.784971984807954,-2.24792701243806,1.0
0.1375,-1.86401277854193,-0.370614580992786,-0.129336333083235,-29.4640752310778,0.516725816609818,-2.16207698191033,1.0
0.1375,-2.0,-0.372770357481575,-0.126408856519814,-29.4710809278948,0.511796245447426,-2.09532301878607,1.0
0.1375,-2.0,-0.372770357481575,-0.126408856519814,-29.4710838837827,0.532469797303451,-2.09532301878607,1.0
0.1375,-2.1,-0.372283253147896,-0.124335121117381,-29.4762356154973,0.562749100486768,-2.04051386772681,1.0
0.1375,-2.2,-0.370975272861464,-0.122276434331225,-29.4813909821183,0.587259294415043,-1.98297342291678,1.0
0.1375,-2.3,-0.368851524045934,-0.120237070017699,-29.4865463487392,0.607536804086062,-1.92317587831477,1.0
0.1375,-2.4,-0.365910349139317,-0.118212293925768,-29.4916980804537,0.62511805449761,-1.86154786663228,1.0
0.1375,-2.4,-0.365910349139317,-0.118212293925768,-29.4917009613455,0.627505053421391,-1.86154786663228,1.0
0.1375,-2.53,-0.360909454137804,-0.11563604897052,-29.4983982125744,0.656564508287142,-1.77819161688617,1.0
0.1375,-2.66,-0.354608767451574,-0.113083236271201,-29.5051001891816,0.694195710454547,-1.69047084719744,1.0
0.1375,-2.79,-0.347063505619297,-0.110560349690633,-29.5118021657889,0.740788320922961,-1.59727090046204,1.0
0.1375,-2.92,-0.338334056731434,-0.108059932203807,-29.5184994170177,0.796732000691738,-1.4974598890263,1.0
0.1375,-2.92,-0.338334056731434,-0.108059932203807,-29.5185026736779,0.797689005664691,-1.4974598890263,1.0
0.1375,-3.05,-0.328422690541645,-0.105616735570633,-29.5251999249068,0.863437814085151,-1.38966538931507,1.0
0.1375,-3.18,-0.317386367319487,-0.103194695733287,-29.5319019015141,0.943405714766209,-1.27234715999083,1.0
0.1375,-3.31,-0.305257135407054,-0.100799647525052,-29.5386038781213,1.03771037289354,-1.14370229072477,1.0
0.1375,-3.44,-0.292065567019006,-0.0984248425899698,-29.5453011293502,1.14646945365282,-1.00191950276373,1.0
0.1375,-3.44,-0.292065567019006,-0.0984248425899698,-29.5453043860104,1.1478711362261,-1.00191950276373,1.0
0.1375,-3.57,-0.277820681931475,-0.0961015071530744,-29.5520016372393,1.27465767948094,-0.844700474616136,1.0
0.1375,-3.7,-0.262536917609838,-0.0937971686251774,-29.5587036138466,1.42001777369963,-0.669693303343471,1.0
0.1375,-3.83,-0.246200113683343,-0.0915170346742581,-29.5654055904538,1.58344193118771,-0.474628172277315,1.0
0.1375,-3.96,-0.228796187080417,-0.0892550287603923,-29.5721028416826,1.76442066425069,-0.257248885104801,1.0
0.1375,-3.96,-0.228796187080417,-0.0892550287603923,-29.5721060983429,1.76219353451709,-0.257248885104801,1.0
0.1375,-4.09,-0.210294463807633,-0.0870390221012908,-29.5788033495718,1.96217861774915,-0.0153234064077469,1.0
