x,y,Ux,Uy,N,Q,M,PUx,PUy,PUtot,pile_number
0.1375,-1.104,-0.244430936943167,-0.142159792781012,-63.1183298526915,9.41306284120741,-25.649859275702,-3.96056420868263e-05,-2.31350986723555e-06,3.9673154815512e-05,1.0
0.1375,-1.13119744429161,-0.245408682567249,-0.1418097060616,-63.1309401069456,9.38149054102755,-25.394332683214,-3.95306196878664e-05,-2.31258923122368e-06,3.95982065485181e-05,1.0
0.1375,-1.15839488858323,-0.24645299984468,-0.14146034706142,-63.1435592586015,9.34697170346489,-25.1395791602339,-3.94549970224034e-05,-2.31166859521181e-06,3.95226593453926e-05,1.0
0.1375,-1.18559233287484,-0.247529473464513,-0.14111193495902,-63.1561784102573,9.30820475081729,-24.8858261889182,-3.93787740904372e-05,-2.31074795919994e-06,3.94465132172241e-05,1.0
0.1375,-1.21278977716646,-0.248615148677872,-0.140764247407711,-63.1687886645111,9.26388810538256,-24.6333123668998,-3.93019508919679e-05,-2.3098270958144e-06,3.93697681619693e-05,1.0
0.1375,-1.21278977716646,-0.248615148677872,-0.140764247407711,-63.1687985861658,9.26066780708168,-24.6333123668998,-3.93019508919679e-05,-2.3098270958144e-06,3.93697681619693e-05,1.0
0.1375,-1.27360511141677,-0.251048824098679,-0.139993651792294,-63.1969959718919,9.14433382968321,-24.0736717054893,-3.91279609175399e-05,-2.30776845455694e-06,3.91959579651318e-05,1.0
0.1375,-1.33442044566708,-0.253457741381691,-0.13922664341745,-63.2252132528133,9.00549179701079,-23.5215413991711,-3.89509077649564e-05,-2.30570981329947e-06,3.90190916534109e-05,1.0
0.1375,-1.3952357799174,-0.255833223893168,-0.138464290241994,-63.2534305337346,8.84450382060657,-22.9785232711046,-3.87707914342172e-05,-2.30365094466833e-06,3.88391693540226e-05,1.0
0.1375,-1.45605111416771,-0.258170690526204,-0.137705489590801,-63.2816279194603,8.66173201201273,-22.4462154153653,-3.85876119253226e-05,-2.30159230341087e-06,3.86561912406075e-05,1.0
0.1375,-1.45605111416771,-0.258170690526204,-0.137705489590801,-63.2816501049563,8.68271851000421,-22.4462154153653,-3.85876119253226e-05,-2.30159230341087e-06,3.86561912406075e-05,1.0
0.1375,-1.59203833562578,-0.26320439365351,-0.136042248463879,-63.3447013762279,8.28000686186993,-21.2943829932414,-3.81668905902188e-05,-2.29698866860417e-06,3.82359476706074e-05,1.0
0.1375,-1.72802555708386,-0.267965103826399,-0.134396385518937,-63.4077971345097,7.99321146593392,-20.1890567165862,-3.7730536860181e-05,-2.29238526117115e-06,3.78001116657492e-05,1.0
0.1375,-1.86401277854193,-0.272433356469553,-0.132772941770791,-63.4708928927916,7.82649201992133,-19.1144913367785,-3.72781360056251e-05,-2.28778185373812e-06,3.73482713102518e-05,1.0
0.1375,-2.0,-0.276552133497502,-0.13116650521607,-63.5339441640633,7.78400822155733,-18.054779285464,-3.68091787095182e-05,-2.2831784463051e-06,3.68799205677957e-05,1.0
0.1375,-2.0,-0.276552133497502,-0.13116650521607,-63.5339707668854,7.7898982097865,-18.0547792854639,-3.68091787095182e-05,-2.2831784463051e-06,3.68799205677957e-05,1.0
0.1375,-2.1,-0.27769684800375,-0.130006911036311,-63.5803363522954,7.79967113733402,-17.2755228141716,-3.64534098480362e-05,-2.27979307965143e-06,3.65246293072898e-05,1.0
0.1375,-2.2,-0.278149212150797,-0.128851495789152,-63.6267346518439,7.81524675709414,-16.4946555046577,-3.60881058441009e-05,-2.27640794037143e-06,3.61598315334297e-05,1.0
0.1375,-2.3,-0.277918185018474,-0.127701487573251,-63.6731329513924,7.83739712559905,-15.7118931887293,-3.5713026591111e-05,-2.27302280109143e-06,3.57852888901526e-05,1.0
0.1375,-2.4,-0.277002729341117,-0.12655559228474,-63.7194985368023,7.86689429938098,-14.9269275495883,-3.53279174305499e-05,-2.26963743443775e-06,3.54007486370493e-05,1.0
0.1375,-2.4,-0.277002729341117,-0.12655559228474,-63.7195244647499,7.86614667361329,-14.9269275495883,-3.53279174305499e-05,-2.26963743443775e-06,3.54007486370493e-05,1.0
0.1375,-2.53,-0.274824309309139,-0.125081887774194,-63.7797997257829,7.92632691194134,-13.9008207188867,-3.48118701367639e-05,-2.26523661694955e-06,3.48854926774681e-05,1.0
0.1375,-2.66,-0.271552280483423,-0.123614956775654,-63.8401175151962,7.99956776529143,-12.8654971313159,-3.42778839694802e-05,-2.26083602683502e-06,3.43523610391685e-05,1.0
0.1375,-2.79,-0.267232337454216,-0.122156767405852,-63.9004353046094,8.08369352737055,-11.8199809950585,-3.37254132318776e-05,-2.25643520934682e-06,3.38008135629142e-05,1.0
0.1375,-2.92,-0.261913712049965,-0.120705210033078,-63.9607105656423,8.17652849188568,-10.7633793787133,-3.31539013131987e-05,-2.25203439185862e-06,3.32302998961405e-05,1.0
0.1375,-2.92,-0.261913712049965,-0.120705210033078,-63.9607398754963,8.17430382776507,-10.7633793787133,-3.31539013131987e-05,-2.25203439185862e-06,3.32302998961405e-05,1.0
0.1375,-3.05,-0.255588778138679,-0.119270805854596,-64.0210151365293,8.27051209262013,-9.69479369652078,-3.25628207065165e-05,-2.24763357437041e-06,3.26402994632307e-05,1.0
0.1375,-3.18,-0.248301442166039,-0.117842838314964,-64.0813329259426,8.37354015690329,-8.61274281452381,-3.19516511808615e-05,-2.24323275688221e-06,3.20302998172824e-05,1.0
0.1375,-3.31,-0.240070853399617,-0.116423175615057,-64.1416507153558,8.48295181572121,-7.5168936315694,-3.13199125230312e-05,-2.238831939394e-06,3.13998294406702e-05,1.0
0.1375,-3.44,-0.230912542197366,-0.115009811808032,-64.2019259763888,8.59831086418055,-6.40692581214932,-3.06671499856748e-05,-2.2344311219058e-06,3.07484433863312e-05,1.0
0.1375,-3.44,-0.230912542197366,-0.115009811808032,-64.2019552862429,8.59883996203297,-6.40692581214932,-3.06671499856748e-05,-2.2344311219058e-06,3.07484433863312e-05,1.0
0.1375,-3.57,-0.220819508581633,-0.113612734042266,-64.262230547276,8.72220307224083,-5.28139297491884,-2.99929579341551e-05,-2.23003053179127e-06,3.0075747069902e-05,1.0
0.1375,-3.7,-0.209787339850635,-0.112221764951219,-64.3225483366895,8.85163049163022,-4.13887968426452,-2.92969998554327e-05,-2.22562971430307e-06,2.93814163742051e-05,1.0
0.1375,-3.83,-0.197781840837961,-0.110838675403119,-64.382866126103,8.98649038068959,-2.97920188861033,-2.85790029010968e-05,-2.22122889681486e-06,2.86651925622862e-05,1.0
0.1375,-3.96,-0.184765249448052,-0.109461560362318,-64.443141387136,9.12615089990739,-1.80219495094007,-2.78387760772603e-05,-2.21682807932666e-06,2.79269006553382e-05,1.0
0.1375,-3.96,-0.184765249448052,-0.109461560362318,-64.4431706969903,9.12442973377923,-1.80219495094007,-2.78387760772603e-05,-2.21682807932666e-06,2.79269006553382e-05,1.0
0.1375,-4.09,-0.170681152799325,-0.108099886737788,-64.5034459580235,9.26523248584676,-0.607097565729874,-2.70761920546647e-05,-2.21242726183846e-06,2.71664316863664e-05,1.0
0.1375,-4.22,-0.155457251617995,-0.10674400227939,-64.5637637474369,9.40031485314715,0.60653308391499,-2.62912162725115e-05,-2.20802644435025e-06,2.63837721690232e-05,1.0
0.1375,-4.35,-0.138999540732392,-0.105395582971329,-64.6240815368504,9.52841624749324,1.83724679755958,-2.54839233093662e-05,-2.20362562686205e-06,2.55790209574374e-05,1.0
0.1375,-4.48,-0.121201349546058,-0.10405282205501,-64.6843567978834,9.6482760806979,3.08354902409285,-2.46545496338513e-05,-2.19922503674752e-06,2.47524424736286e-05,1.0
0.1375,-4.48,-0.121201349546058,-0.10405282205501,-64.6843861077371,9.63960826581836,3.08354902409285,-2.46545496338513e-05,-2.19922503674752e-06,2.47524424736286e-05,1.0
0.1375,-4.61,-0.101929796070117,-0.102724679290135,-64.74466136877,9.748536082184,4.34384352372172,-2.38035172515083e-05,-2.19482421925932e-06,2.3904490935728e-05,1.0
0.1375,-4.74,-0.0810055175197091,-0.101402014196556,-64.8049791581829,9.81755567403699,5.61649155458147,-2.29315028263954e-05,-2.19042340177111e-06,2.30358801992893e-05,1.0
0.1375,-4.87,-0.0581572054412161,-0.100086410191879,-64.8652969475956,9.8400183979137,6.8949815388853,-2.20394831558224e-05,-2.18602258428291e-06,2.21476299525429e-05,1.0
0.1375,-5.0,-0.0334351527106449,-0.0987761562963126,-64.9255722086284,9.80927561035047,8.17254040795052,-2.11287897400325e-05,-2.18162176679471e-06,2.12411211900845e-05,1.0
0.1375,-5.0,-0.0334351527106449,-0.0987761562963126,-64.9256020383975,9.70721026809822,8.17254040795053,-2.11287897400325e-05,-2.18162176679471e-06,2.12411211900845e-05,1.0
0.1375,-5.13461538461539,-0.0305691368441774,-0.0974529820208956,-64.9880172492978,9.17563558235211,9.44387280270457,-2.01660550374072e-05,-2.17706474359147e-06,2.02832291972833e-05,1.0
0.1375,-5.26923076923077,-0.0284068661030888,-0.0961496320018469,-65.0504764982469,8.5654966444361,10.6394997812534,-1.91879917110782e-05,-2.17250772038824e-06,1.93105881759089e-05,1.0
0.1375,-5.40384615384616,-0.0265778469068898,-0.0948718204393746,-65.1129357471965,7.85730939583768,11.7461037741763,-1.82023886736715e-05,-2.16795069718501e-06,1.83310382589975e-05,1.0
0.1375,-5.53846153846154,-0.024981923391876,-0.0936133553626696,-65.1753509580981,7.03158977804432,12.749538762702,-1.72170257428661e-05,-2.16339367398177e-06,1.73524133082156e-05,1.0
0.1375,-5.53846153846154,-0.024981923391876,-0.0936133553626696,-65.1753813077168,7.05861574819043,12.749538762702,-1.72170257428661e-05,-2.16339367398177e-06,1.73524133082156e-05,1.0
0.1375,-5.67307692307692,-0.0235501162660851,-0.0924048057516938,-65.2377965185755,6.24395111664333,13.6448886926199,-1.62375999934738e-05,-2.15883665077854e-06,1.63804831806881e-05,1.0
0.1375,-5.80769230769231,-0.0222433751612199,-0.0912149638100733,-65.3002557674441,5.41278809496599,14.4298280636485,-1.52686170622474e-05,-2.15427962757531e-06,1.54198439585924e-05,1.0
0.1375,-5.94230769230769,-0.021055879978274,-0.0900492318462584,-65.3627150163133,4.5645063163326,15.1017468506051,-1.43138277053367e-05,-2.14972260437207e-06,1.44743556282763e-05,1.0
0.1375,-6.07692307692308,-0.0199629439480271,-0.0889017717820817,-65.4251302271737,3.69848541391739,15.6579725905738,-1.33763378471485e-05,-2.14516558116884e-06,1.35472561639503e-05,1.0
0.1375,-6.07692307692308,-0.0199629439480271,-0.0889017717820817,-65.4251605766721,3.70173713252005,15.6579725905738,-1.33763378471485e-05,-2.14516558116884e-06,1.35472561639503e-05,1.0
0.1375,-6.21153846153846,-0.0189514962252248,-0.0878014836735884,-65.4875757874993,2.84274015712634,16.0980459293183,-1.24588050312013e-05,-2.14060855796561e-06,1.26413617859756e-05,1.0
0.1375,-6.34615384615385,-0.0180102927102072,-0.0867188857746509,-65.5500350363068,2.01171085931547,16.4245547027714,-1.15635357360588e-05,-2.13605153476237e-06,1.1759169820964e-05,1.0
0.1375,-6.48076923076923,-0.0171321642199434,-0.0856590971168476,-65.6124942851149,1.20696282286079,16.6409642159261,-1.06925726868212e-05,-2.13149451155914e-06,1.0902952788844e-05,1.0
0.1375,-6.61538461538462,-0.0163132036292481,-0.0846166025915876,-65.674909495944,0.426809631535679,16.7506345584178,-9.84785310720326e-06,-2.12693748835591e-06,1.00749230220596e-05,1.0
0.1375,-6.61538461538462,-0.0163132036292481,-0.0846166025915876,-65.6749398453473,0.425294665540138,16.7506345584178,-9.84785310720326e-06,-2.12693748835591e-06,1.00749230220596e-05,1.0
0.1375,-6.75,-0.0155509140657449,-0.0836187864084808,-65.7373550561482,-0.291168861202145,16.7591668894257,-9.03145883057732e-06,-2.12238046515267e-06,9.27748605211966e-06,1.0
0.1375,-6.88461538461539,-0.014839477701957,-0.0826377367130755,-65.7998143049048,-0.964476943367657,16.6741621324359,-8.24556809675414e-06,-2.11782344194944e-06,8.51319971394307e-06,1.0
0.1375,-7.01923076923077,-0.0141764588907824,-0.0816783163745053,-65.8622735536621,-1.59648710868495,16.5012921235549,-7.49234504837659e-06,-2.11326641874621e-06,7.78467271505576e-06,1.0
0.1375,-7.15384615384616,-0.013559700270383,-0.0807353040413932,-65.924688764465,-2.18905688488258,16.2461237402721,-6.77389334668987e-06,-2.10870939554297e-06,7.09452509948203e-06,1.0
0.1375,-7.15384615384616,-0.013559700270383,-0.0807353040413932,-65.9247191137903,-2.18186104809709,16.2461237402721,-6.77389334668987e-06,-2.10870939554297e-06,7.09452509948203e-06,1.0
0.1375,-7.28846153846154,-0.0129844265262455,-0.0798347131252762,-65.9871343245701,-2.70647343917219,15.916500914543,-6.09223252467928e-06,-2.10415237233974e-06,6.44536688954034e-06,1.0
0.1375,-7.42307692307693,-0.012446695074559,-0.0789500538201928,-66.0495935732858,-3.17023619029401,15.5201683492772,-5.44920339962118e-06,-2.09959534913651e-06,5.83970190339873e-06,1.0
0.1375,-7.55769230769231,-0.01194538596027,-0.0780859585904198,-66.1120528220022,-3.57338996777521,15.0654966999072,-4.84631664221524e-06,-2.09503832593327e-06,5.27976993662998e-06,1.0
0.1375,-7.69230769230769,-0.0114798503088615,-0.0772374721854005,-66.1744680327841,-3.91617543792846,14.5608276563716,-4.2847245822486e-06,-2.09048130273004e-06,4.76749166992343e-06,1.0
0.1375,-7.69230769230769,-0.0114798503088615,-0.0772374721854005,-66.1744983820415,-3.90807064130078,14.5608276563716,-4.2847245822486e-06,-2.09048130273004e-06,4.76749166992343e-06,1.0
0.1375,-7.82692307692308,-0.0110485979920815,-0.0764293750061357,-66.236913592801,-4.21226188924887,14.0139652233498,-3.76520688405435e-06,-2.08592427952681e-06,4.30440042045924e-06,1.0
0.1375,-7.96153846153846,-0.010648305069948,-0.075636458984257,-66.2993728414776,-4.47316914048367,13.4286522379952,-3.28804799210047e-06,-2.08136725632357e-06,3.89144565091842e-06,1.0
