x,y,Ux,Uy,N,Q,M,pile_number
0.1375,-1.104,-0.244519648856763,-0.142171445488073,-63.2895718062577,9.41388791344418,-25.6735192000495,1.0
0.1375,-1.13119744429161,-0.245497125467816,-0.141821354935182,-63.3021820605239,9.38766827724522,-25.4178894254733,1.0
0.1375,-1.15839488858323,-0.246541171898773,-0.141471992101522,-63.3148012122032,9.35539636297884,-25.1629318180102,1.0
0.1375,-1.18559233287484,-0.247617373008113,-0.141123576165641,-63.3274203638825,9.31618014083088,-24.9089489968882,1.0
0.1375,-1.21278977716646,-0.248702774196127,-0.140775884780852,-63.3400306181485,9.26912758098721,-24.6562512938721,1.0
0.1375,-1.21278977716646,-0.248702774196127,-0.140775884780852,-63.3400405398673,9.26710304503114,-24.6562512938721,1.0
0.1375,-1.27360511141677,-0.25113583138388,-0.140005280593514,-63.36823792562,9.14753544449126,-24.096318788229,1.0
0.1375,-1.33442044566708,-0.253544122942786,-0.139238263646747,-63.3964552065933,9.00599785881072,-23.5440811129951,1.0
0.1375,-1.3952357799174,-0.255918972195466,-0.13847590189937,-63.4246724875666,8.84315523563805,-23.0010917494907,1.0
0.1375,-1.45605111416771,-0.258255797908018,-0.137717092676256,-63.4528698733189,8.65967252262178,-22.4688948818963,1.0
0.1375,-1.45605111416771,-0.258255797908018,-0.137717092676256,-63.4528920589568,8.67972888694411,-22.4688948818963,1.0
0.1375,-1.59203833562578,-0.263288039274349,-0.136053832381935,-63.5159433302875,8.28036314677563,-21.3172521221206,1.0
0.1375,-1.72802555708386,-0.268047247249354,-0.134407950269595,-63.579039088684,7.99685151881463,-20.2116344181027,1.0
0.1375,-1.86401277854193,-0.272513957880421,-0.13278448735405,-63.6421348470805,7.8323847218881,-19.1364169500235,1.0
0.1375,-2.0,-0.276631154589252,-0.131178031631931,-63.705186118411,7.79015347482304,-18.0758526168456,1.0
0.1375,-2.0,-0.276631154589252,-0.131178031631931,-63.7052127213552,7.7957106814542,-18.0758526168455,1.0
0.1375,-2.1,-0.277774683624378,-0.130018423357172,-63.7515783067803,7.80616122233023,-17.2959785540015,1.0
0.1375,-2.2,-0.27822584306128,-0.128862994015013,-63.7979766063582,7.82192409956947,-16.5144461776501,1.0
0.1375,-2.3,-0.27799359270893,-0.127712971704113,-63.844374905936,7.84359980385803,-15.7310352036121,1.0
0.1375,-2.4,-0.277076896049345,-0.126567062320602,-63.8907404913609,7.87178882588199,-14.9455064329447,1.0
0.1375,-2.4,-0.277076896049345,-0.126567062320602,-63.8907664193657,7.87179909626841,-14.9455064329447,1.0
0.1375,-2.53,-0.274896837069389,-0.125093339486555,-63.9510416804183,7.93007919690679,-13.9188027099111,1.0
0.1375,-2.66,-0.271623141105037,-0.123626390164515,-64.0113594698695,8.00289209721965,-12.8830377400997,1.0
0.1375,-2.79,-0.267301503087606,-0.122168182471213,-64.0716772593207,8.08820945437184,-11.8370283173683,1.0
0.1375,-2.92,-0.261981155230852,-0.120716606774939,-64.1319525203731,8.18400292552824,-10.7796682408291,1.0
0.1375,-2.92,-0.261981155230852,-0.120716606774939,-64.1319818302916,8.18131333196398,-10.7796682408291,1.0
0.1375,-3.05,-0.255654472653564,-0.119282184272958,-64.1922570913442,8.27871638413567,-9.71009396969586,1.0
0.1375,-3.18,-0.248365363498805,-0.117854198409826,-64.2525748807955,8.38305907152509,-8.62689413340145,1.0
0.1375,-3.31,-0.240132978812871,-0.116434517386418,-64.3128926702467,8.49401627980822,-7.52970841354371,1.0
0.1375,-3.44,-0.230972851000565,-0.115021135255894,-64.3731679312991,8.61126289466107,-6.41818479484298,1.0
0.1375,-3.44,-0.230972851000565,-0.115021135255894,-64.3731972412176,8.61094108935885,-6.41818479484298,1.0
0.1375,-3.57,-0.220877982727521,-0.113624039166628,-64.4334725022702,8.73574815035554,-5.29098018502075,1.0
0.1375,-3.7,-0.209843963869724,-0.112233051752081,-64.4937902917215,8.86623472662035,-4.14663424579973,1.0
0.1375,-3.83,-0.197836602240664,-0.110849943880481,-64.5541080811727,9.00185959523833,-2.98500386089865,1.0
0.1375,-3.96,-0.184818138891098,-0.109472810516182,-64.6143833422251,9.14208153329455,-1.80596169933878,1.0
0.1375,-3.96,-0.184818138891098,-0.109472810516182,-64.6144126521436,9.13968870972754,-1.80596169933878,1.0
0.1375,-4.09,-0.17073216398753,-0.108111118568152,-64.6746879131963,9.28362477654212,-0.608653589875256,1.0
0.1375,-4.22,-0.155506381578009,-0.106755215786254,-64.7350057026476,9.41997767530616,0.607465156869466,1.0
0.1375,-4.35,-0.139046790825539,-0.105406778154694,-64.7953234920988,9.54782512526202,1.84073826359915,1.0
0.1375,-4.48,-0.121246725494214,-0.104063998914875,-64.8555987531513,9.66624484565203,3.08947852857567,1.0
0.1375,-4.48,-0.121246725494214,-0.104063998914875,-64.8556280630698,9.658583522444,3.08947852857567,1.0
0.1375,-4.61,-0.101973307584708,-0.102735837826501,-64.9159033241224,9.76484979946987,4.352050076171,1.0
0.1375,-4.74,-0.0810471780293737,-0.101413154409422,-64.9762211135737,9.83277274891914,5.62672992009098,1.0
0.1375,-4.87,-0.0581970312194548,-0.100097532081246,-65.0365389030249,9.8557666723904,6.90721594703861,1.0
0.1375,-5.0,-0.0334731628030839,-0.0987872598621797,-65.0968141640773,9.82724587148223,8.18694703484184,1.0
0.1375,-5.0,-0.0334731628030839,-0.0987872598621797,-65.0968439942756,9.72685060100231,8.18694703484184,1.0
0.1375,-5.13461538461539,-0.0306052891706752,-0.0974640666127244,-65.1592592054158,9.20245996483844,9.46145884398705,1.0
0.1375,-5.26923076923077,-0.0284411893632528,-0.0961606976196375,-65.2217184548305,8.59473768504108,10.660914981718,1.0
0.1375,-5.40384615384616,-0.0266103774413858,-0.0948828670831269,-65.2841777042451,7.88414371731782,11.7713479055834,1.0
0.1375,-5.53846153846154,-0.0250127051969286,-0.0936243830323833,-65.3465929153853,7.05113801737627,12.7779593269431,1.0
0.1375,-5.53846153846154,-0.0250127051969286,-0.0936243830323833,-65.346623265861,7.07777542998152,12.7779593269431,1.0
0.1375,-5.67307692307692,-0.0235791986968437,-0.092415814447369,-65.4090384769997,6.26228976594859,13.675889701592,1.0
0.1375,-5.80769230769231,-0.0222708114190996,-0.0912259535317096,-65.4714977264114,5.42748036173246,14.4630420934422,1.0
0.1375,-5.94230769230769,-0.0210817274610989,-0.0900602025938561,-65.533956975823,4.57492688463151,15.1366763400827,1.0
0.1375,-6.07692307692308,-0.019987262821208,-0.0889127235556404,-65.5963721869616,3.70620900194409,15.6940799328656,1.0
