x,y,Ux,Uy,N,Q,M,PUx,PUy,PUtot,pile_number
0.1375,-1.104,-0.298600982165588,-0.14548305148528,-37.4601658352249,5.18995725306224,-10.3369373869289,-7.99027657194529e-06,-2.0908341014092e-07,7.99301167073925e-06,1.0
0.1375,-1.13119744429161,-0.299535745972656,-0.144954282933136,-37.4637527519895,5.16260551883497,-10.1961417168419,-7.98336986918002e-06,-2.09085769142803e-07,7.98610739515751e-06,1.0
0.1375,-1.15839488858323,-0.300535337474946,-0.144427108910881,-37.4673421995696,5.11546075454411,-10.0562990067662,-7.97592474555131e-06,-2.09088128144685e-07,7.97866488781355e-06,1.0
0.1375,-1.18559233287484,-0.301559126282331,-0.143902007265144,-37.4709316471497,5.04922314896418,-9.9179954910692,-7.96796211943729e-06,-2.09090487146568e-07,7.97070506094679e-06,1.0
0.1375,-1.21278977716646,-0.302585009414675,-0.143378489682957,-37.4745185639141,4.96459289086969,-9.78181210438125,-7.9595029092161e-06,-2.09092846148451e-07,7.96224882681583e-06,1.0
0.1375,-1.21278977716646,-0.302585009414675,-0.143378489682957,-37.4745213860678,4.97100608964601,-9.78181210438125,-7.9595029092161e-06,-2.09092846148451e-07,7.96224882681583e-06,1.0
0.1375,-1.27360511141677,-0.304860469180681,-0.142222834147164,-37.4825419757829,4.74799862781303,-9.48622387799188,-7.93884009908652e-06,-2.0909811837555e-07,7.94159329996017e-06,1.0
0.1375,-1.33442044566708,-0.307078760447645,-0.141074982122614,-37.4905682245733,4.50214137739555,-9.20478276424373,-7.91584534454159e-06,-2.0910339060265e-07,7.91860667962883e-06,1.0
0.1375,-1.3952357799174,-0.309232177040489,-0.139937231366964,-37.4985944733637,4.23473105720425,-8.93893554201792,-7.89059504313627e-06,-2.09108662829749e-07,7.89336535120712e-06,1.0
0.1375,-1.45605111416771,-0.311317548624987,-0.138807170474411,-37.5066150630787,3.94706438604979,-8.6901100608269,-7.86317195888841e-06,-2.09113935056848e-07,7.86595206525466e-06,1.0
0.1375,-1.45605111416771,-0.311317548624987,-0.138807170474411,-37.5066213736035,3.98780256350827,-8.6901100608269,-7.86317195888841e-06,-2.09113935056848e-07,7.86595206525466e-06,1.0
0.1375,-1.59203833562578,-0.315682272366669,-0.136352491833706,-37.5245559574247,3.3223475406268,-8.19531121212935,-7.79451420385158e-06,-2.09125730066262e-07,7.79731910627106e-06,1.0
0.1375,-1.72802555708386,-0.319635537262911,-0.133935016550483,-37.5425031953219,2.86183205390796,-7.77736907099698,-7.71681879996322e-06,-2.09137525075676e-07,7.71965225226244e-06,1.0
0.1375,-1.86401277854193,-0.323164996765942,-0.131565274608262,-37.560450433219,2.62176638405742,-7.40679874173645,-7.63155912864022e-06,-2.09149320085089e-07,7.63442454753624e-06,1.0
0.1375,-2.0,-0.326229224623682,-0.129231546315116,-37.5783850170401,2.6176608117808,-7.05348805280445,-7.54025768401334e-06,-2.09161115094503e-07,7.54315811271312e-06,1.0
0.1375,-2.0,-0.326229224623682,-0.129231546315116,-37.5783925840504,2.6453405964626,-7.05348805280445,-7.54025768401334e-06,-2.09161115094503e-07,7.54315811271312e-06,1.0
0.1375,-2.1,-0.326507044089767,-0.127561054207779,-37.591581017232,2.69352693082765,-6.78665281515148,-7.47010835766559e-06,-2.09169783715879e-07,7.47303625534395e-06,1.0
0.1375,-2.2,-0.326036901505591,-0.12589929674091,-37.6047787557671,2.74751253069191,-6.5145891366662,-7.39806819183286e-06,-2.0917846654811e-07,7.40102483456694e-06,1.0
0.1375,-2.3,-0.324825745006604,-0.124248794049956,-37.6179764943021,2.80758717228016,-6.23682045557753,-7.32474609321798e-06,-2.09187135169486e-07,7.3277325679662e-06,1.0
0.1375,-2.4,-0.322871301325957,-0.122606818356043,-37.6311649274837,2.87404063181717,-5.9528595121274,-7.25071231499896e-06,-2.09195803790863e-07,7.25372952068116e-06,1.0
0.1375,-2.4,-0.322871301325957,-0.122606818356043,-37.631172302538,2.87411240749366,-5.9528595121274,-7.25071231499896e-06,-2.09195803790863e-07,7.25372952068116e-06,1.0
0.1375,-2.53,-0.319260825186485,-0.120505132710457,-37.6483172656742,2.97170576186632,-5.57306199551819,-7.15422356734052e-06,-2.09207087209506e-07,7.15728177849868e-06,1.0
0.1375,-2.66,-0.314469550773833,-0.118417302833032,-37.6654743257698,3.07732138910999,-5.17986071494852,-7.05824686519918e-06,-2.09218356417296e-07,7.06134697708277e-06,1.0
0.1375,-2.79,-0.308549113701497,-0.116347253974816,-37.6826313858654,3.19056950682704,-4.77244296048308,-6.96334564054268e-06,-2.09229639835939e-07,6.96648832281018e-06,1.0
0.1375,-2.92,-0.301555718096226,-0.114290620486931,-37.6997763490014,3.31106033261984,-4.35000681183341,-6.86979501551832e-06,-2.09240909043729e-07,6.87298081717517e-06,1.0
0.1375,-2.92,-0.301555718096226,-0.114290620486931,-37.6997846860194,3.3110520868222,-4.35000681183341,-6.86979501551832e-06,-2.09240909043729e-07,6.87298081717517e-06,1.0
0.1375,-3.05,-0.293487422578516,-0.112268395853735,-37.7169296491555,3.43599233510059,-3.91167545362815,-6.77759226164199e-06,-2.09252192462372e-07,6.78082173081697e-06,1.0
0.1375,-3.18,-0.284395695833213,-0.110258982131597,-37.7340867092511,3.57213594034913,-3.45615599816252,-6.68648954160744e-06,-2.09263461670162e-07,6.68976334307993e-06,1.0
0.1375,-3.31,-0.274306591387494,-0.10826599788069,-37.7512437693466,3.71932461042588,-2.98222710411695,-6.59596071272972e-06,-2.09274745088806e-07,6.59927978212819e-06,1.0
0.1375,-3.44,-0.263243364036275,-0.106285400729874,-37.7683887324826,3.87740005318887,-2.48866767653505,-6.50524088996462e-06,-2.09286014296595e-07,6.50860658453466e-06,1.0
0.1375,-3.44,-0.263243364036275,-0.106285400729874,-37.7683970695005,3.8774975719133,-2.48866767653506,-6.50524088996462e-06,-2.09286014296595e-07,6.50860658453466e-06,1.0
0.1375,-3.57,-0.251206644304122,-0.104336544329303,-37.7855420326366,4.04752759852498,-1.97377821454217,-6.41336055196007e-06,-2.09297283504384e-07,6.41677480688857e-06,1.0
0.1375,-3.7,-0.238200636159389,-0.102399492873048,-37.8026990927321,4.22750074874631,-1.43586642034425,-6.31920238447492e-06,-2.09308566923028e-07,6.32266785875558e-06,1.0
0.1375,-3.83,-0.22419949262378,-0.100477569209819,-37.8198561528276,4.41673330555838,-0.873972972080769,-6.22152265350451e-06,-2.09319836130817e-07,6.22504288514285e-06,1.0
0.1375,-3.96,-0.209174848094257,-0.0985670419808788,-37.8370011159636,4.61454155194232,-0.287157786689746,-6.11894938629121e-06,-2.09331119549461e-07,6.12252897989102e-06,1.0
0.1375,-3.96,-0.209174848094257,-0.0985670419808788,-37.8370094529813,4.61165333674933,-0.287157786689747,-6.11894938629121e-06,-2.09331119549461e-07,6.12252897989102e-06,1.0
0.1375,-4.09,-0.193080051762117,-0.0966856837248925,-37.8541544161174,4.81642001166433,0.325544712628292,-6.00998600930325e-06,-2.0934238875725e-07,6.01363085562719e-06,1.0
0.1375,-4.22,-0.175852131875948,-0.0948151602845431,-37.8713114762127,5.01714378611604,0.964959330896342,-5.89300952924532e-06,-2.09353672175894e-07,5.89672708134179e-06,1.0
0.1375,-4.35,-0.157409737999903,-0.0929585088792442,-37.8884685363081,5.21193552053865,1.63004665114651,-5.76627735426882e-06,-2.09364941383683e-07,5.77007696699395e-06,1.0
0.1375,-4.48,-0.137656443674136,-0.0911122978409967,-37.905613499444,5.39890607536633,2.31970081518223,-5.62793229619274e-06,-2.09376210591472e-07,5.63182566563374e-06,1.0
0.1375,-4.48,-0.137656443674136,-0.0911122978409967,-37.905621836461,5.39176061638509,2.31970081518223,-5.62793229619274e-06,-2.09376210591472e-07,5.63182566563374e-06,1.0
0.1375,-4.61,-0.116471080100292,-0.0892927725222968,-37.9227667995966,5.56885822434269,3.0322145441334,-5.47600939171389e-06,-2.09387494010116e-07,5.48001112962251e-06,1.0
0.1375,-4.74,-0.0936943491394412,-0.0874831447850604,-37.9399238596913,5.71697438492838,3.7664033239651,-5.30843590240693e-06,-2.09398763217905e-07,5.31256431226955e-06,1.0
0.1375,-4.87,-0.0690517820986688,-0.0856861754349154,-37.9570809197858,5.82957423106649,4.51743319436673,-5.12301767230383e-06,-2.09410046636549e-07,5.12729584073025e-06,1.0
0.1375,-5.0,-0.042522222542715,-0.0838987220822558,-37.9742258829214,5.90012289568139,5.28021681131116,-4.91744049213594e-06,-2.09421315844338e-07,4.92189783327815e-06,1.0
0.1375,-5.0,-0.042522222542715,-0.0838987220822558,-37.9742343677794,6.14070625346733,5.28021681131117,-4.91744049213594e-06,-2.09421315844338e-07,4.92189783327815e-06,1.0
