x,y,Ux,Uy,N,Q,M,PUx,PUy,PUtot,pile_number
0.1375,-1.104,-0.241702224747849,-0.142299163766328,-64.407316708154,9.67975635747207,-26.5285344528727,-3.31590963469353e-05,-1.73157911831368e-06,3.32042773869319e-05,1.0
0.1375,-1.13119744429161,-0.242679405238666,-0.141965308406606,-64.4216643752311,9.66063688176888,-26.2655711336744,-3.31067276420072e-05,-1.73086800714373e-06,3.31519429177265e-05,1.0
0.1375,-1.15839488858323,-0.243722826775826,-0.141632124437094,-64.4360221655885,9.63277951907832,-26.0031243989321,-3.30536458932329e-05,-1.73015689597378e-06,3.30988965030546e-05,1.0
0.1375,-1.18559233287484,-0.244798814635706,-0.141299814165472,-64.4503799559458,9.59601306509838,-25.7415567949839,-3.299985837657e-05,-1.72944578480383e-06,3.30451454164792e-05,1.0
0.1375,-1.21278977716646,-0.24588444079084,-0.140968172495981,-64.4647276230228,9.55016631552703,-25.4812325748916,-3.2945357816061e-05,-1.72873467363388e-06,3.2990682399734e-05,1.0
0.1375,-1.21278977716646,-0.24588444079084,-0.140968172495981,-64.4647389117403,9.54835674457089,-25.4812325748916,-3.2945357816061e-05,-1.72873467363388e-06,3.2990682399734e-05,1.0
0.1375,-1.27360511141677,-0.248319316122198,-0.140232928121508,-64.4968212706436,9.43686450643449,-24.9039587791837,-3.28209243889432e-05,-1.72714464952151e-06,3.28663369785119e-05,1.0
0.1375,-1.33442044566708,-0.250731141155175,-0.139500995493242,-64.5289262658893,9.30305839109206,-24.3338736044846,-3.26929402945098e-05,-1.72555451172229e-06,3.27384465647548e-05,1.0
0.1375,-1.3952357799174,-0.25311120376442,-0.138773361551139,-64.5610312611349,9.1463625259427,-23.7726238266434,-3.25613982568029e-05,-1.72396448760992e-06,3.26070040020955e-05,1.0
0.1375,-1.45605111416771,-0.255454817180813,-0.138049008783528,-64.5931136200382,8.96620103838553,-23.2218697859568,-3.24262873618864e-05,-1.72237434981071e-06,3.24719984829471e-05,1.0
0.1375,-1.45605111416771,-0.255454817180813,-0.138049008783528,-64.5931388623773,8.98311252382077,-23.2218697859567,-3.24262873618864e-05,-1.72237434981071e-06,3.24719984829471e-05,1.0
0.1375,-1.59203833562578,-0.260507910567212,-0.136460248541584,-64.6648771977637,8.59853433591118,-22.0279781977566,-3.21112383971922e-05,-1.71881879396096e-06,3.21572071151676e-05,1.0
0.1375,-1.72802555708386,-0.265295469880098,-0.134887555385627,-64.7366661495503,8.33034184688694,-20.878052145037,-3.17782250931486e-05,-1.71526323811122e-06,3.1824482997322e-05,1.0
0.1375,-1.86401277854193,-0.269797489886675,-0.133335600531465,-64.8084551013367,8.18199301549612,-19.7563850271594,-3.14271237584762e-05,-1.71170768226148e-06,3.14737041182015e-05,1.0
0.1375,-2.0,-0.273955277261426,-0.131799385584,-64.8801934367228,8.15694580048677,-18.6471361865019,-3.10577706841286e-05,-1.70815224009857e-06,3.11047087101499e-05,1.0
0.1375,-2.0,-0.273955277261426,-0.131799385584,-64.8802237049733,8.16171097055321,-18.6471361865019,-3.10577706841286e-05,-1.70815224009857e-06,3.11047087101499e-05,1.0
0.1375,-2.1,-0.275134932903195,-0.130689825526997,-64.9329774377249,8.17622122164581,-17.8304641780863,-3.07744230667595e-05,-1.70553755651781e-06,3.08216478055374e-05,1.0
0.1375,-2.2,-0.275624564907517,-0.129584137611002,-64.9857683919141,8.19526482177453,-17.0117415994717,-3.0481058274745e-05,-1.70292298662389e-06,3.05285908657241e-05,1.0
0.1375,-2.3,-0.275433619762066,-0.128483461734091,-65.0385593461032,8.21909212527071,-16.1908730440365,-3.01776217384031e-05,-1.70030830304313e-06,3.02254843155827e-05,1.0
0.1375,-2.4,-0.274561407811241,-0.12738659970851,-65.0913130788548,8.24795348646568,-15.3677547733025,-2.98640588880517e-05,-1.69769373314921e-06,2.9912274692517e-05,1.0
0.1375,-2.4,-0.274561407811241,-0.12738659970851,-65.0913425791677,8.2480873651758,-15.3677547733025,-2.98640588880517e-05,-1.69769373314921e-06,2.9912274692517e-05,1.0
0.1375,-2.53,-0.272443394824931,-0.125975486655893,-65.159922431745,8.30346513789675,-14.292338585801,-2.9441205697367e-05,-1.69429472407501e-06,2.94899173875869e-05,1.0
0.1375,-2.66,-0.269236319999766,-0.124570662346422,-65.2285506721909,8.37443177597505,-13.2081642487313,-2.90010448225075e-05,-1.69089571500081e-06,2.90502965409322e-05,1.0
0.1375,-2.79,-0.264985567222481,-0.123173958309699,-65.2971789126366,8.45952349138307,-12.1138713625441,-2.85434944089502e-05,-1.68749670592661e-06,2.85933334574038e-05,1.0
0.1375,-2.92,-0.259739972026038,-0.12178341794851,-65.3657587652136,8.55727649609321,-11.0081542078873,-2.80684962490341e-05,-1.6840976968524e-06,2.81189734296006e-05,1.0
0.1375,-2.92,-0.259739972026038,-0.12178341794851,-65.3657921133935,8.55398911856155,-11.0081542078873,-2.80684962490341e-05,-1.6840976968524e-06,2.81189734296006e-05,1.0
0.1375,-3.05,-0.253491716241636,-0.12040883195165,-65.4343719659706,8.65177111294482,-9.89012089211149,-2.75760212389287e-05,-1.68069880146504e-06,2.7627191240354e-05,1.0
0.1375,-3.18,-0.246284283588469,-0.119040236907617,-65.5030002064165,8.7563754209977,-8.75838861127322,-2.70660730166128e-05,-1.67729979239084e-06,2.71179948214128e-05,1.0
0.1375,-3.31,-0.238136534176577,-0.117679375957946,-65.5716284468622,8.86716288725289,-7.61266933553356,-2.65386952378321e-05,-1.67390078331664e-06,2.65914326195285e-05,1.0
0.1375,-3.44,-0.229063637756633,-0.116324384127459,-65.6402082994392,8.98349435624312,-6.45269577934374,-2.59939679381205e-05,-1.67050177424244e-06,2.60475900103212e-05,1.0
0.1375,-3.44,-0.229063637756633,-0.116324384127459,-65.6402416476191,8.98294789931222,-6.45269577934374,-2.59939679381205e-05,-1.67050177424244e-06,2.60475900103212e-05,1.0
0.1375,-3.57,-0.219058290599898,-0.114984579682787,-65.7088215001962,9.10300445396676,-5.27744260267342,-2.54320129897678e-05,-1.66710276516824e-06,2.54865948361359e-05,1.0
0.1375,-3.7,-0.208115699086228,-0.113650476050597,-65.7774497406421,9.22791854763857,-4.08569352155109,-2.48530159296934e-05,-1.66370375609404e-06,2.49086392841848e-05,1.0
0.1375,-3.83,-0.19620134167091,-0.112323730207815,-65.8460779810878,9.35702229791893,-2.87744783760691,-2.42572295974242e-05,-1.66030474701984e-06,2.43139836224985e-05,1.0
0.1375,-3.96,-0.183277091939403,-0.111002566422433,-65.9146578336647,9.48964782239913,-1.65272591354258,-2.36449759540847e-05,-1.65690573794564e-06,2.370295813804e-05,1.0
0.1375,-3.96,-0.183277091939403,-0.111002566422433,-65.9146911818445,9.48833918269527,-1.65272591354258,-2.36449759540847e-05,-1.65690573794564e-06,2.370295813804e-05,1.0
0.1375,-4.09,-0.16928609584644,-0.109695842424809,-65.9832710344216,9.62235525855847,-0.410764046350236,-2.3016638806439e-05,-1.65350672887143e-06,2.30759560245832e-05,1.0
0.1375,-4.22,-0.154155899862247,-0.108394536379205,-66.0518992748674,9.75001888456188,0.848825477786877,-2.23726619879017e-05,-1.65010783348407e-06,2.24334317545717e-05,1.0
0.1375,-4.35,-0.137791554272191,-0.107100221211491,-66.1205275153131,9.87018256324657,2.12450190138612,-2.17135675484315e-05,-1.64670882440987e-06,2.17759193981031e-05,1.0
0.1375,-4.48,-0.120086414204079,-0.105811208167802,-66.1891073678901,9.98169879715359,3.41468427065243,-2.10399866773514e-05,-1.64330981533567e-06,2.11040637445091e-05,1.0
0.1375,-4.48,-0.120086414204079,-0.105811208167802,-66.1891407160697,9.97426536191272,3.41468427065242,-2.10399866773514e-05,-1.64330981533567e-06,2.11040637445091e-05,1.0
0.1375,-4.61,-0.100907070388669,-0.104535905740669,-66.257720568647,10.077415265702,4.71806362865909,-2.03526942641474e-05,-1.63991080626147e-06,2.04186549817159e-05,1.0
0.1375,-4.74,-0.0800722442494975,-0.10326574532418,-66.3263488090927,10.14437489124,6.03329297830964,-1.96526361833094e-05,-1.63651179718727e-06,1.97206561710267e-05,1.0
0.1375,-4.87,-0.0573146556982984,-0.102002217799485,-66.3949770495384,10.1689571068743,7.35437529066902,-1.89409656741191e-05,-1.63311278811307e-06,1.90112397819515e-05,1.0
0.1375,-5.0,-0.0326936517104526,-0.100743719236778,-66.4635569021153,10.1449747809526,8.67507033346277,-1.82190142368199e-05,-1.62971377903887e-06,1.82917589849374e-05,1.0
0.1375,-5.0,-0.0326936517104526,-0.100743719236778,-66.4635908422897,10.0477228436528,8.67507033346277,-1.82190142368199e-05,-1.62971377903887e-06,1.82917589849374e-05,1.0
0.1375,-5.13461538461539,-0.0299060735069101,-0.0994721543325464,-66.5346054825415,9.56469961982069,9.99543260231354,-1.74615179275861e-05,-1.62619414822984e-06,1.75370783126252e-05,1.0
0.1375,-5.26923076923077,-0.0278293318184835,-0.098219261172724,-66.6056702285827,9.00340489486048,11.2468336235563,-1.66964146046666e-05,-1.62267440373398e-06,1.67750807113247e-05,1.0
0.1375,-5.40384615384616,-0.0260833920584817,-0.0969904389643553,-66.6767349746239,8.33908926010289,12.4153661867883,-1.59273022291018e-05,-1.61915477292496e-06,1.60093915710696e-05,1.0
0.1375,-5.53846153846154,-0.0245663875973404,-0.0957798645877032,-66.7477496148753,7.54700330687858,13.4860806403843,-1.51577141878079e-05,-1.61563514211593e-06,1.52435749190179e-05,1.0
0.1375,-5.53846153846154,-0.0245663875973404,-0.0957798645877032,-66.7477841470463,7.57749397407136,13.4860806403843,-1.51577141878079e-05,-1.61563514211593e-06,1.52435749190179e-05,1.0
0.1375,-5.67307692307692,-0.0232095423379982,-0.0946164192030247,-66.8187987872996,6.79062483989898,14.4531182731327,-1.43902116178651e-05,-1.61211539762007e-06,1.44802315748811e-05,1.0
0.1375,-5.80769230769231,-0.0219735306938411,-0.0934706543437602,-66.8898635333437,5.98948411266878,15.3136460697309,-1.36275129989372e-05,-1.60859576681105e-06,1.37221241386749e-05,1.0
0.1375,-5.94230769230769,-0.0208522079531118,-0.0923476918809834,-66.9609282793877,5.17430776426421,16.0654148978488,-1.28724404930836e-05,-1.60507613600203e-06,1.29721237139622e-05,1.0
0.1375,-6.07692307692308,-0.0198208905274761,-0.0912420226130329,-67.0319429196406,4.34533176656871,16.7061497125946,-1.21275661513209e-05,-1.60155639150616e-06,1.22328591764084e-05,1.0
0.1375,-6.07692307692308,-0.0198208905274761,-0.0912420226130329,-67.0319774518157,4.34484210904226,16.7061497125946,-1.21275661513209e-05,-1.60155639150616e-06,1.22328591764084e-05,1.0
0.1375,-6.21153846153846,-0.0188663395316031,-0.0901810438083178,-67.1029920920701,3.49987337996357,17.2337645710038,-1.13949399747071e-05,-1.59803676069714e-06,1.15064494313284e-05,1.0
0.1375,-6.34615384615385,-0.0179772837950054,-0.0891368407327473,-67.1740568381162,2.6790235289629,17.6494782310104,-1.0676340025384e-05,-1.59451712988812e-06,1.07947543378774e-05,1.0
0.1375,-6.48076923076923,-0.0171465376965486,-0.088114282947428,-67.2451215841622,1.88084712668921,17.9562236802158,-9.9736062111333e-06,-1.59099738539226e-06,1.0099707596514e-05,1.0
0.1375,-6.61538461538462,-0.0163702368893982,-0.0871081482502329,-67.3161362244159,1.10389874379144,18.1568389472769,-9.28853933146456e-06,-1.58747775458323e-06,9.42321858673886e-06,1.0
0.1375,-6.61538461538462,-0.0163702368893982,-0.0871081482502329,-67.316170756594,1.09761522872316,18.1568389472769,-9.28853933146456e-06,-1.58747775458323e-06,9.42321858673886e-06,1.0
0.1375,-6.75,-0.0156459623262701,-0.0861444838836763,-67.3871853968492,0.360063845570219,18.2545978337038,-8.62281831359724e-06,-1.58395812377421e-06,8.7670929621613e-06,1.0
0.1375,-6.88461538461539,-0.0149680178492691,-0.0851967724517906,-67.4582501428967,-0.344591916748308,18.2552056678732,-7.97805842012167e-06,-1.58043837927835e-06,8.13309299255641e-06,1.0
0.1375,-7.01923076923077,-0.0143341143620684,-0.0842696549989072,-67.5293148889441,-1.01419115889115,18.1633738485406,-7.35584126232425e-06,-1.57691874846932e-06,7.52296972051503e-06,1.0
