x,y,Ux,Uy,N,Q,M,pile_number
0.1375,-1.104,-0.276156406405697,-0.145183290548303,-44.4551637970442,6.28536874398649,-14.5185115104866,1.0
0.1375,-1.13119744429161,-0.277084163783409,-0.144722544293264,-44.4607683544953,6.25658351741286,-14.3479588425042,1.0
0.1375,-1.15839488858323,-0.278078867224709,-0.144263005092557,-44.4663768663518,6.21231224720242,-14.1783277351479,1.0
0.1375,-1.18559233287484,-0.279101865054697,-0.143805035357101,-44.4719853782083,6.15357010772682,-14.0100938339579,1.0
0.1375,-1.21278977716646,-0.280130559974144,-0.143348265766369,-44.4775899356592,6.08137227335775,-13.8437248275349,1.0
0.1375,-1.21278977716646,-0.280130559974144,-0.143348265766369,-44.4775943453093,6.08450848368856,-13.8437248275349,1.0
0.1375,-1.27360511141677,-0.282425119050194,-0.142338243745853,-44.4901265167538,5.89724098536291,-13.4793230078496,1.0
0.1375,-1.33442044566708,-0.284679501633257,-0.141334145190721,-44.5026675305175,5.68274059601942,-13.1270024051843,1.0
0.1375,-1.3952357799174,-0.286885420641423,-0.140337721540346,-44.5152085442812,5.44283523093362,-12.7884824561837,1.0
0.1375,-1.45605111416771,-0.289039048187143,-0.13934714603709,-44.5277407157256,5.17935280538102,-12.465453236338,1.0
0.1375,-1.45605111416771,-0.289039048187143,-0.13934714603709,-44.5277505760029,5.21473486518238,-12.465453236338,1.0
0.1375,-1.59203833562578,-0.293611135582179,-0.137187149510432,-44.5557733632584,4.62469938001403,-11.7985747070643,1.0
0.1375,-1.72802555708386,-0.297843602285223,-0.135055564456551,-44.5838159225407,4.2226185610874,-11.1992417380055,1.0
0.1375,-1.86401277854193,-0.30172066318274,-0.132960507227119,-44.6118584818231,4.01998200718336,-10.6408292014133,1.0
0.1375,-2.0,-0.305195019995113,-0.130893066061384,-44.6398812690786,4.02827931708278,-10.096249207985,1.0
0.1375,-2.0,-0.305195019995113,-0.130893066061384,-44.6398930926041,4.04242112656805,-10.096249207985,1.0
0.1375,-2.1,-0.305818474370281,-0.129407847560391,-44.6605000194591,4.08926577511501,-9.68984760338945,1.0
0.1375,-2.2,-0.305724593624605,-0.127929359889304,-44.681121485937,4.14681310523895,-9.27803796102878,1.0
0.1375,-2.3,-0.304920502246838,-0.126459558400531,-44.7017429524148,4.21517911402051,-8.85993288117268,1.0
0.1375,-2.4,-0.303403734286196,-0.124996347768561,-44.7223498792696,4.29447979854033,-8.43463936879679,1.0
0.1375,-2.4,-0.303403734286196,-0.124996347768561,-44.722361402825,4.29214810661795,-8.43463936879679,1.0
0.1375,-2.53,-0.300405178791823,-0.123119648690976,-44.7491504077365,4.40676741968957,-7.86950501616309,1.0
0.1375,-2.66,-0.296271836496449,-0.121253713257589,-44.7759583141577,4.53369503346729,-7.28832124911827,1.0
0.1375,-2.79,-0.291052340669132,-0.119401619857896,-44.8027662205789,4.67030524536435,-6.69005253259218,1.0
0.1375,-2.92,-0.284799529682556,-0.117559991843824,-44.8295552254902,4.813972352794,-6.07376176402111,1.0
0.1375,-2.92,-0.284799529682556,-0.117559991843824,-44.829568252118,4.81215348918504,-6.07376176402111,1.0
0.1375,-3.05,-0.277508389756025,-0.115745290166182,-44.8563572570295,4.95524304104672,-5.43912321296027,1.0
0.1375,-3.18,-0.269226713460509,-0.11394064348624,-44.8831651634507,5.10681398505108,-4.78502334761619,1.0
0.1375,-3.31,-0.259976971391956,-0.112148921251166,-44.9099730698719,5.26675220067886,-4.11068233113523,1.0
0.1375,-3.44,-0.249778499013455,-0.110366965575805,-44.9367620747833,5.43494356741086,-3.41531822359995,1.0
0.1375,-3.44,-0.249778499013455,-0.110366965575805,-44.9367751014111,5.43438449799296,-3.41531822359996,1.0
